Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
ZjyZtRgAAAAJ,1,Promoting the suitability of graphitic bio-carbon nitride and metal oxide nanoparticles: A review of sulfonamides photocatalytic degradation,"ZU Zango, MA Lawal, F Usman, A Sulieman, H Akhdar, MH Eisa, ...",Chemosphere 141218,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7672605946673006880,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZjyZtRgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZjyZtRgAAAAJ:dhFuZR0502QC
ZjyZtRgAAAAJ,2,Study of North Jordanian women's knowledge of breast cancer causes and medical imaging screening advantages,"AA Oglat, H Hasan, HYA Mhanna, HF Akhdar","Informatics in Medicine Unlocked 47, 101490",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15550498217510054242,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZjyZtRgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZjyZtRgAAAAJ:qUcmZB5y_30C
ZjyZtRgAAAAJ,3,Systematic Review Between Resting-State fMRI and Task fMRI in Planning for Brain Tumour Surgery,"HY Abu Mhanna, AF Omar, YM Radzi, AA Oglat, HF Akhdar, HA Ewaidat, ...",Journal of Multidisciplinary Healthcare 2409-2424,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ZjyZtRgAAAAJ,4,Geant4 simulation of the effect of different composites on polyimide photon and neutron shielding properties,"H Akhdar, R Alotaibi","Polymers 15 (8), 1973",2023,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8156748112134279241,5005876569117996987",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZjyZtRgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZjyZtRgAAAAJ:KlAtU1dfN6UC
ZjyZtRgAAAAJ,5,Mapping high-grade glioma response to chemoradiotherapy: Insights from fractional anisotropy and mean diffusivity,"AS Mahmoud I Mousa, Ayda Youssef, Mahmoud R Hamed, Walaa B Mousa, Yasser Al ...",Journal of Radiation Research and Applied Sciences 16 (4),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10534015267721795517,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZjyZtRgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZjyZtRgAAAAJ:M3ejUd6NZC8C
ZjyZtRgAAAAJ,6,Sustainable grafting of poly (3-hydroxybutyrate-co-3-hydroxyhexanoate) and natural rubber into a new thermoplastic elastomer film,"ZU Zango, H Akhdar, O Aldaghri, KH Ibnaouf, A Sulieman, JW Lim, HS Ng, ...","Polymer 289, 126476",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11699213919686319761,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZjyZtRgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZjyZtRgAAAAJ:4DMP91E08xMC
ZjyZtRgAAAAJ,7,Fe-nanoparticle effect on polypropylene for effective radiation protection: Simulation and theoretical study,"M Alshipli, MW Aladailah, MW Marashdeh, AA Oglat, H Akhdar, ...","Medical Engineering & Physics 121, 104066",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17931151522147966504,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZjyZtRgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZjyZtRgAAAAJ:8k81kl-MbHgC
ZjyZtRgAAAAJ,8,Theoretical Investigation of the Influence of Different Heavy Metal Oxides Modifiers on ZnO-Bi2O3-B2O3-SiO2’s Photon- and Neutron-Shielding Capabilities Using the Monte Carlo …,H Akhdar,Applied sciences 13 (16),2023,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6206515621378330273,6616029308397992797",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZjyZtRgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZjyZtRgAAAAJ:4TOpqqG69KYC
ZjyZtRgAAAAJ,9,Blood component detection using photonic crystal fibre sensor,"NAANA Hanan Akhdar, Sathees Kumar Nataraj, Tarfah Alinad, Thamizharasan ...",Optical and Quantum Electronics 56 (75),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8332446206848051101,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZjyZtRgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZjyZtRgAAAAJ:mVmsd5A6BfQC
ZjyZtRgAAAAJ,10,Novel Folded Antenna Design and SAR Analysis for WCE and Biomedical Applications,"A Mimouni, B Fady, J Terhzaz, A Tribak, H Akhdar",Progress in Electromagnetics Research C 135,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=101999258610903677,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ZjyZtRgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ZjyZtRgAAAAJ:YOwf2qJgpHMC
