Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
Znc7kUUAAAAJ,1,Examining Low-Energy Gamma-Ray Protection of a New Promising Saudi Cement Product as Alternative Cementitious Material Using Geant4 Software,MA Al-Aqeel,Nuclear Technology 1-13,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
Znc7kUUAAAAJ,2,Radiological Impact Assessment for hypothetical accident scenarios of a proposed pressurized water reactor using HotSpot code,"MA Al-Aqeel, IA Alrammah","Radiation Physics and Chemistry 204, 110717",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1739627020298859701,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Znc7kUUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Znc7kUUAAAAJ:roLk4NBRz8UC
Znc7kUUAAAAJ,3,Decay spectroscopy at the two-proton drip line: Radioactivity of the new nuclides Os and W,"AD Briscoe, RD Page, J Uusitalo, DT Joss, MAM AlAqeel, B Alayed, ...",Physics Letters B 847,2023,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6261854791562110151,11760696838238856147",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Znc7kUUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Znc7kUUAAAAJ:0EnyYjriUFMC
Znc7kUUAAAAJ,4,High- three-quasiparticle isomers in the proton-rich nucleus ,"CM Petrache, J Uusitalo, AD Briscoe, CM Sullivan, DT Joss, H Tann, ...","Physical Review C 108 (1), 014317",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2332857651366024010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Znc7kUUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Znc7kUUAAAAJ:Se3iqnhoufwC
Znc7kUUAAAAJ,5,Investigation of gamma radiation shielding properties of polyethylene glycol in the energy range from 8.67 to 23.19 keV,"H Akhdar, MW Marashdeh, M AlAqeel","Nuclear Engineering and Technology 54 (2), 701-708",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16204502709466189567,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Znc7kUUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Znc7kUUAAAAJ:eQOLeE2rZwMC
Znc7kUUAAAAJ,6,An insight of the theoretical physics of Ru-alloyed iron pyrite studied for energy generation,"MM Nofal, R Sai, I Shawish, MA Alaqeel","Symmetry 14 (11), 2252",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15797903822377578200,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Znc7kUUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Znc7kUUAAAAJ:_FxGoFyzp5QC
Znc7kUUAAAAJ,7,Decay studies in the A∼ 225 Po-Fr region from the DESPEC campaign at GSI in 2021,"M Polettini, J Pellumaj, G Benzoni, G Zhang, D Mengoni, RMP Vidal, ...",Il Nuovo Cimento C 45 (5),2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4600372251304249351,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Znc7kUUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Znc7kUUAAAAJ:ufrVoPGSRksC
Znc7kUUAAAAJ,8,Isomeric states in neutron-rich nuclei near ,"K Wimmer, F Recchia, SM Lenzi, S Riccetto, T Davinson, A Estrade, ...","Physical Review C 104 (1), 014304",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13524855240048600022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Znc7kUUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Znc7kUUAAAAJ:W7OEmFMy1HYC
Znc7kUUAAAAJ,9,-spectroscopy studies of the new nuclides  and ,"J Hilton, J Uusitalo, J Sarén, RD Page, DT Joss, MAM AlAqeel, H Badran, ...","Physical Review C 100 (1), 014305",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15426633526820511686,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Znc7kUUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Znc7kUUAAAAJ:qjMakFHDy7sC
Znc7kUUAAAAJ,10,First spectroscopy of 61Ti and the transition to the Island of Inversion at N= 40,"K Wimmer, F Recchia, SM Lenzi, S Riccetto, T Davinson, A Estrade, ...","Physics Letters B 792, 16-20",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=486891683759150002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Znc7kUUAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Znc7kUUAAAAJ:u-x6o8ySG0sC
