Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
_uUrORoAAAAJ,1,A high-order combined finite element/interpolation approach for multidimensional nonlinear generalized Benjamin–Bona–Mahony–Burgers equation,E Ngondiep,"Mathematics and Computers in Simulation 215, 560-577",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11919204922702618098,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:BqipwSGYUEgC
_uUrORoAAAAJ,2,A posteriori error estimate of MacCormack rapid solver method for two-dimensional incompressible Navier–Stokes problems,E Ngondiep,"Journal of Computational and Applied Mathematics 438, 115569",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10317900019339392328,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:GnPB-g6toBAC
_uUrORoAAAAJ,3,An efficient high-order two-level explicit/implicit numerical scheme for two-dimensional time fractional mobile/immobile advection-dispersion model,E Ngondiep,"International Journal for Numerical Methods in Fluids 96 (5), 1-32",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
_uUrORoAAAAJ,4,A six-level time-split leap-frog/crank–nicolson approach for two-dimensional nonlinear time-dependent convection diffusion reaction equation,E Ngondiep,"International Journal of Computational Methods 20 (08), 2250064",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=265462174604515594,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:JV2RwH3_ST0C
_uUrORoAAAAJ,5,A high-order numerical scheme for multidimensional convection-diffusion-reaction equation with time-fractional derivative,E Ngondiep,"Numerical Algorithms 94 (2), 681-700",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7309381539074318726,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:NMxIlDl6LWMC
_uUrORoAAAAJ,6,Stability analysis and convergence rate of a two-step predictor-corrector approach for shallow water equations with source terms,"RT Alqahtani, JC Ntonga, E Ngondiep","AIMS Math 8 (4), 9265-9289",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16065962449484073991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:blknAaTinKkC
_uUrORoAAAAJ,7,An efficient two-level factored method for advection-dispersion problem with spatio-temporal coefficients and source terms.,E Ngondiep,Applied Mathematics for Modern Challenges 8 (5),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12426164078463385567,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:YFjsv_pBGBYC
_uUrORoAAAAJ,8,A novel three-level time-split approach for solving two-dimensional nonlinear unsteady convection-diffusion-reaction equation,E Ngondiep,"Journal of Mathematics and Computer Science 26 (3), 222-248",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2566204894230475603,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:r0BpntZqJG4C
_uUrORoAAAAJ,9,Unconditional stability over long time intervals of a two-level coupled MacCormack/Crank–Nicolson method for evolutionary mixed Stokes-Darcy model,E Ngondiep,"Journal of Computational and Applied Mathematics 409, 114148",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7676459366225053112,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:iH-uZ7U-co4C
_uUrORoAAAAJ,10,A robust numerical two-level second-order explicit approach to predicting the spread of Covid-2019 pandemic with undetected infectious cases,E Ngondiep,"Journal of Computational and Applied Mathematics 403, 113852",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2392549056692924649,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:j3f4tGmQtD8C
_uUrORoAAAAJ,11,A two-level fourth-order approach for time-fractional convection–diffusion–reaction equation with variable coefficients,E Ngondiep,"Communications in Nonlinear Science and Numerical Simulation 111, 106444",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5413760560432000217,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:e5wmG9Sq2KIC
_uUrORoAAAAJ,12,Unconditional Stability and Fourth-Order Convergence Of A Two-Step Time Split Explicit/Implicit Scheme For Two-Dimensional Nonlinear Unsteady Convection-Diffusion-Reaction …,"E Ngondiep, AH Tedjani","DOI: 10.21203/rs.3.rs-2380601/v1, 19 pages",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=307332739173926044,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:maZDTaKrznsC
_uUrORoAAAAJ,13,An Efficient High-Order Two-Level Explicit/Implicit Numerical Scheme For Two-Dimensional Time Fractional Mobile/Immobile Advection-Dispersion Model,E Ngondiep,"DOI: 10.21203/rs.3.rs-2174558/v1, 29 pages",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
_uUrORoAAAAJ,14,A novel three-level time-split MacCormack scheme for two-dimensional evolutionary linear convection-diffusion-reaction equation with source term,E Ngondiep,"International Journal of Computer Mathematics 98 (1), 47-74",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7615352463564100720,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:hC7cP41nSMkC
_uUrORoAAAAJ,15,A Two-Level Factored Crank-Nicolson Method for Two-Dimensional Nonstationary Advection-Diffusion Equation With Time Dependent Dispersion Coefficients and Source Terms,E Ngondiep,"Advances in Applied Mathematics and Mechanics 13 (5), 1005-1026",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=310482975988108706,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:RHpTSmoSYBkC
_uUrORoAAAAJ,16,An efficient three‐level explicit time‐split scheme for solving two‐dimensional unsteady nonlinear coupled Burgers' equations,E Ngondiep,"International Journal for Numerical Methods in Fluids 92 (4), 266-284",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9961371127545133601,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:ZeXyd9-uunAC
_uUrORoAAAAJ,17,A Three‐Level Time‐Split MacCormack Method for Two‐Dimensional Nonlinear Reaction‐Diffusion Equations,"E Ngondiep, K Nabil, A Mohammed Abdulaziz Mohammed, ...","International Journal for Numerical Methods in Fluids 92 (12), 1681-1706",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3725555448194066404,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_uUrORoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=_uUrORoAAAAJ:MXK_kJrjxJIC
