Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
a7cwKJMAAAAJ,1,"Novel diphenyl ether-heterocycles hybrids: Synthesis via Hantzsch and Biginelli reactions, molecular docking simulation, and antimicrobial activities","YA El-Gabry, ME Salem, NS Ibrahim, AHM Elwahy, IA Abdelhamid, ...","Journal of Molecular Structure 1296, 136857",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7806031180301678985,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=a7cwKJMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=a7cwKJMAAAAJ:mB3voiENLucC
a7cwKJMAAAAJ,2,"Design, synthesis, docking study, cytotoxicity evaluation, and PI3K inhibitory activity of Novel di-thiazoles, and bis (di-thiazoles)","ME Salem, M Samir, AHM Elwahy, AM Farag, AM Selim, AA Alsaegh, ...","Journal of Molecular Structure 1301, 137379",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6094514771915337272,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=a7cwKJMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=a7cwKJMAAAAJ:R3hNpaxXUhUC
a7cwKJMAAAAJ,3,Nanostructure Lipid Carrier of Curcumin Co-Delivered with Linalool and Geraniol Monoterpenes as Acetylcholinesterase Inhibitor of Culex pipiens,"IT Radwan, NAR Ghazawy, AM Alkhaibari, HS Gattan, MH Alruhaili, ...","Molecules 29 (1), 271",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16024539085184421530,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=a7cwKJMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=a7cwKJMAAAAJ:RHpTSmoSYBkC
a7cwKJMAAAAJ,4,"Novel hybrid thiazoles, bis-thiazoles linked to azo-sulfamethoxazole: Synthesis, docking, and antimicrobial activity","ME Salem, IA Abdelhamid, AHM Elwahy, MA Ragheb, A sultan Alqahtani, ...",Heliyon 10 (10),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
a7cwKJMAAAAJ,5,Nano-Sulphonated Poly (glycidyl methacrylate)-Hexamethyl Pararosaniline chloride novel composite adsorbent development for treatment of dichromate and permanganate contaminated …,"T Tamer, M Abou-Krisha, A Omer, A Alhamzani, M Youssef, T Yousef, ...",Adsorption 1-14,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
a7cwKJMAAAAJ,6,"Synthesis, molecular docking, and antimicrobial activity of novel scaffolds based on bis (thiazole) linked to 2-phenoxy-N-arylacetamide as new hybrid molecules","AH Abdullah, NS Ibrahim, FK Algethami, AHM Elwahy, IA Abdelhamid, ...","Journal of Molecular Structure 1302, 137506",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
a7cwKJMAAAAJ,7,"Utility of 2-Chloro-N-arylacetamide and 1,1′-(Piperazine-1,4-diyl)bis(2-chloroethanone) as Versatile Precursors for Novel Mono- and Bis[thienopyridines]","ME Salem, AH Abdullah, MEA Zaki, IA Abdelhamid, AHM Elwahy","ACS omega 9 (9), 10146-10159",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
a7cwKJMAAAAJ,8,Synthesis of Novel Diphenyl Ether-Based Bis-Heterocycles as Novel Hybrid Molecules via Michael and Other Cyclocondensation Reactions,"ME Salem, YA El-Gabry, IA Abdelhamid, AHM Elwahy, MEA Zaki, ...","ACS omega 9 (3), 4073-4084",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
a7cwKJMAAAAJ,9,"Novel bis ([triazolo [3, 4-b] thiadiazoles and bis ([triazolo [3, 4-b][thiadiazines) with antioxidant activity","AHM Elwahya, ARS Ginidia, MR Shaabanb, AH Mohamedc, HM Gaberd, ...","ARKIVOC 7, S1-S34",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
a7cwKJMAAAAJ,10,Synthesis of novel mono-and bis-pyrazolylthiazole derivatives as anti-liver cancer agents through EGFR/HER2 target inhibition,"ME Salem, EM Mahrous, EA Ragab, MS Nafie, KM Dawood","BMC chemistry 17 (1), 51",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5597584020395606647,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=a7cwKJMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=a7cwKJMAAAAJ:-f6ydRqryjwC
