Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
b1l_yC0AAAAJ,1,A reliable neural network framework for the Zika system based reservoirs and human movement,"Z Sabir, SN Khan, MAZ Raja, MM Babatin, AF Hashem, MA Abdelkawy","Knowledge-Based Systems 292, 111621",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10858669922756970703,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b1l_yC0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=b1l_yC0AAAAJ:q09DtPQ_434C
b1l_yC0AAAAJ,2,Design of stochastic neural networks for the fifth order system of singular engineering model,"Z Sabir, MM Babatin, AF Hashem, MA Abdelkawy, S Salahshour, M Umar","Engineering Applications of Artificial Intelligence 133, 108141",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14117128983425183771,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b1l_yC0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=b1l_yC0AAAAJ:JavbeY_VQWIC
b1l_yC0AAAAJ,3,"A novel generalized Weibull Poisson G class of continuous probabilistic distributions with some copulas, properties and applications to real‑life datasets","AF Hashem, MA Abdelkawy, AH Muse, HM Yousof","Scientific Reports 14, 1741",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7738556496527442775,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b1l_yC0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=b1l_yC0AAAAJ:iWL_APfBKHwC
b1l_yC0AAAAJ,4,A space-time spectral approximation for solving two dimensional variable-order fractional convection-diffusion equations with nonsmooth solutions,"AZ Amin, MÂA Abdelkawy, EÂM Soluma, MÂM Babatin","International Journal of Modern Physics C (IJMPC) 35 (07), 1-17",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5696948797426808737,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=b1l_yC0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=b1l_yC0AAAAJ:hrkNWuzUpWwC
b1l_yC0AAAAJ,5,Romanovski–Jacobi spectral collocation schemes for distributed order differential problems,"MA Abdelkawy, AA Menaem, RT Matoog, AH Tedjani","Alexandria Engineering Journal 101, 98-107",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
b1l_yC0AAAAJ,6,"A new probabilistic approach: Model, theory, properties with an application in the medical sector","M Kamal, M Alam, MA Abd Elgawad, SMA Alsheikh, MA Abdelkawy, ...","Alexandria Engineering Journal 99, 257-270",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
b1l_yC0AAAAJ,7,Spectral solutions for fractional Klein–Gordon models of distributed order,"MA Abdelkawy, S Owyed, EM Soluma, RT Matoog, AH Tedjani","Alexandria Engineering Journal 98, 256-265",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
b1l_yC0AAAAJ,8,"A novel compound G family with properties, copulas, modelling the asymmetric and positive-skewed engineering and medical data","OA Alqasem, SMA Alsheikh, H Alsuhabi, R Aldallal, MM Alsolmi, ...","Alexandria Engineering Journal 98, 80-96",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
b1l_yC0AAAAJ,9,Spectral algorithm for two-dimensional fractional sine-Gordon and Klein–Gordon models,"MA Abdelkawy, H Almadi, EM Solouma, MM Babatin",International Journal of Modern Physics C 2450149,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
b1l_yC0AAAAJ,10,A stochastic scale conjugate neural network procedure for the SIRC epidemic delay differential system,"Z Sabir, AF Hashem, Z Shams, MA Abdelkawy",Computer Methods in Biomechanics and Biomedical Engineering 1-17,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
