Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
bdnReLYAAAAJ,1,"Phyto-mediated synthesis of Ag, ZnO, and Ag/ZnO nanoparticles from leave extract of Solanum macrocarpon: Evaluation of their antioxidant and anticancer activities","MYA Mohamed, H Ferjani, OE Ogunjinmi, M Jalouli, DC Onwudiwe","Inorganica Chimica Acta 569, 122086",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=502924721107423224,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bdnReLYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bdnReLYAAAAJ:kNdYIx-mwKoC
bdnReLYAAAAJ,2,The small phytomolecule resveratrol: A promising role in boosting tumor cell chemosensitivity,"IBH Yahia, O Baccouri, M Jalouli, N Boujelbene, MA Rahman, AH Harrath, ...","Pharmacia 71, 1-9",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
bdnReLYAAAAJ,3,Exploring Importance and Regulation of Autophagy in Cancer Stem Cells and Stem Cell-Based Therapies,"MA Rahman, EH Apu, SM Rakib-Uz-Zaman, S Chakraborti, SK Bhajan, ...","Cells 13 (11), 958",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
bdnReLYAAAAJ,4,The microRNA miR-152 can mitigate and prevent the toxic effect of benzene on porcine ovarian cells,"AV Sirotkin, Z Fabová, B Loncová, K Popovičová, M Bauer, M Jalouli, ...",Toxicology in Vitro 105855,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
bdnReLYAAAAJ,5,Impacts of DCM-Linked Gating Pore Currents on the Electrophysiological Characteristics of hiPSC-CM Monolayers,"M Djemai, M Jalouli, M Chahine",Biochemical and Biophysical Research Communications 150175,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
bdnReLYAAAAJ,6,"Phytochemical profiling, antioxidant, and tyrosinase inhibitory potential of the Acacia cyclops trunk bark: in vitro combined with in silico approach","M Kaplan, A Beyaoui, S Jlizi, AC Goren, M Jalouli, AH Harrath, ...","Biomedical Chromatography, e e5891",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
bdnReLYAAAAJ,7,"The angiotensin II type 1 receptor mediates the induction of oxidative stress, apoptosis, and autophagy in HUVECs induced by angiotensin II","M Jalouli, T Barhoumi, M Al-Zharani, M Chahine","Journal of King Saud University-Science 36 (5), 103180",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
bdnReLYAAAAJ,8,Quantitative proteomics analysis of COVID-19 patients: Fetuin-A and tetranectin as potential modulators of innate immune responses,"B Alghanem, FA Mansour, H Shaibah, K Almuhalhil, F Almourfi, HS Alamri, ...",Heliyon 9 (4),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10913387302080962072,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bdnReLYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bdnReLYAAAAJ:8k81kl-MbHgC
bdnReLYAAAAJ,9,"Autophagy activation, histopathological damage, and altered renal epithelial sodium channel and Na+, K+‐ATPase gene expression in offspring kidney after in utero exposure to …","W Alqahtani, A Mufti, N Aldawood, A Alshamrani, S Nahdi, W Aldahmash, ...","Journal of King Saud University-Science 35 (3), 102575",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=757080214852332599,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bdnReLYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bdnReLYAAAAJ:5nxA0vEk-isC
bdnReLYAAAAJ,10,"Maternal Exposure to Acephate Caused Nephrotoxicity in Adult Offspring Rats Mediated by Excessive Autophagy Activation, Oxidative Stress Induction, and Altered Epithelial …","A Mufti, M Jalouli, S Nahdi, N Tlili, W Alqahtani, L Mansour, S Alwasel, ...","Biology 12 (2), 162",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17045663840965027952,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bdnReLYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bdnReLYAAAAJ:0EnyYjriUFMC
bdnReLYAAAAJ,11,Angiotensin II modulates THP-1-like macrophage phenotype and inflammatory signatures via angiotensin II type 1 receptor,"T Barhoumi, FA Mansour, M Jalouli, HS Alamri, R Ali, AH Harrath, ...","Frontiers in Cardiovascular Medicine 10, 1129704",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5898849480519049975,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bdnReLYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bdnReLYAAAAJ:MXK_kJrjxJIC
bdnReLYAAAAJ,12,Neuroinflammatory signaling in the pathogenesis of Alzheimer’s disease,"MS Uddin, MT Kabir, M Jalouli, MA Rahman, P Jeandet, T Behl, A Alexiou, ...","Current neuropharmacology 20 (1), 126",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10153451154834916985,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=bdnReLYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=bdnReLYAAAAJ:9yKSN-GCB0IC
