Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
cMZExpMAAAAJ,1,Novel nanocomposite made of calcium zinc silicate/NiO2 for biomedical applications,"HHA Sherif, EMA Hamzawy, IK El Zawawi, SH Kenawy, GT El-Bassyouni, ...","Ceramics International 50 (7), 12459-12471",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cMZExpMAAAAJ,2,"Cd(II) and Pd(II) Mixed Ligand Complexes of Dithiocarbamate and Tertiary Phosphine Ligands—Spectroscopic, Anti-Microbial, and Computational Studies","* Tohama B. Abdullah 1 , Reza Behjatmanesh-Ardakani 2 , Ahmed S. Faihan 1 ...","Molecules 28 (5), 2305",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2602038948510654145,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:HE397vMXCloC
cMZExpMAAAAJ,3,Gamma ray and fast neutron shielding of ZrSiO4-Al2O3 ceramic refractor,"M Gharieb, SH Kenawy, GT El-Bassyouni, EMA Hamzawy","Particulate Science and Technology 41 (2), 250-260",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10848751295460641366,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:mvPsJ3kp5DgC
cMZExpMAAAAJ,4,A Novel Electrochemical Sensor Based on an Environmentally Friendly Synthesis of Magnetic Chitosan Nanocomposite Carbon Paste Electrode for the Determination of Diclofenac to …,"4 Mohamed Abd-Elsabour 1 , Mortaga M. Abou-Krisha 1,2 , Sayed H. Kenawy 2,3 ...","nanomaterials 13 (6), 1079",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4546912968055670386,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:WA5NYHcadZ8C
cMZExpMAAAAJ,5,"Electrical, microstructural and physical characteristics of talc-based cordierite ceramics","A Yahya, AM Soltan, R Mahani, B El-Kaliouby, S Kenawy, EMA Hamzawy","Silicon 15 (6), 2901-2919",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10871632554625722367,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:Y5dfb0dijaUC
cMZExpMAAAAJ,6,Green catalytic conversion of some benzylic alcohols to acids by NiO2 nanoparticles (NPNPs) in water,"TAY Abdel Ghany F. Shoair1,2*, Mai M. A. H. Shanab3 , N. A. El-Ghamaz4 ...",Catalysts 13,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=294730197219959537,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:Mojj43d5GZwC
cMZExpMAAAAJ,7,Corrosion mitigation characteristics of some novel organoselenium thiourea derivatives for acid pickling of C1018 steel via experimental and theoretical study,"MASS Hany M. Abd El-Lateef, Mai M. Khalaf, Mohamed Gouda, T. A. Yousef ...",Scientific Reports  (2023) 13 (Article number: 9058),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7875098996405731385,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:AXPGKjj_ei8C
cMZExpMAAAAJ,8,Zinc oxide calcium silicate composite attenuates acute tramadol toxicity in mice,"SA ElShebiney, R Elgohary, SH Kenawy, GT El-Bassyouni, ...","BMC Pharmacology and Toxicology 24 (1), 9",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5828355595780299303,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:bnK-pcrLprsC
cMZExpMAAAAJ,9,Efficient oxidation of CO over highly active Al-decorated nitrogenated holey 2D-graphene: A DFT perspective,"AH Ragab, I Khan, M Khan, TA Yousef, MM Abou-Krisha, SH Kenawy, ...","Inorganic Chemistry Communications 155, 110977",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2323244642199287196,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:eMMeJKvmdy0C
cMZExpMAAAAJ,10,"Improving the Durability of Chitosan Films through Incorporation of Magnesium, Tungsten, and Graphene Oxides for Biomedical Applications","F Alaithan, MM Khalaf, M Gouda, TA Yousef, SH Kenawy, ...","Chemistry & Biodiversity 20 (11), e202301018",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cMZExpMAAAAJ,11,Use of Solid Leather Wastes to Produce Value-Added Material: Mn 3 O 4 Nanoclusters by co-precipitation method using chrome shavings as a primary surface,SHK M.A. HABIB,"Journal of the Society of Leather Technologists and Chemists 107 (6), 221-225",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cMZExpMAAAAJ,12,"Influence of ZnO doped into hydroxyapatite: Structural, electrical, biocompatibility, and antimicrobial assessment","GT El-Bassyouni, SH Kenawy, AA Abd El-Aty, EMA Hamzawy, GM Turky","Journal of Molecular Structure 1268, 133700",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2711573188089528625,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:kRWSkSYxWN8C
cMZExpMAAAAJ,13,"Effect of zinc oxide on wollastonite: Structural, optical, and mechanical properties","MA Mahdy, IK El Zawawi, SH Kenawy, EMA Hamzawy, GT El-Bassyouni","Ceramics International 48 (5), 7218-7231",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11012048313391829340,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:sSrBHYA8nusC
cMZExpMAAAAJ,14,Osteogenic potential of calcium silicate-doped iron oxide nanoparticles versus calcium silicate for reconstruction of critical-sized mandibular defects: An experimental study …,"SK Taha, MAA Hamid, EMA Hamzawy, SH Kenawy, GT El-Bassyouni, ...","The Saudi Dental Journal 34 (6), 485-493",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15199189145311318024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:q3oQSFYPqjQC
cMZExpMAAAAJ,15,Some optical and microstructure characteristics of effective cost ZnO-containing hydroxyapatite,"MA Mahdy, HHA Sherif, SH Kenawy, GT El-Bassyouni, EMA Hamzawy, ...","Physica Scripta 98 (1), 015828",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3043701640505517708,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cMZExpMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cMZExpMAAAAJ:XiVPGOgt02cC
