Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
cwuGMP8AAAAJ,1,"Green processing and characterization of Novel HETERO-ligand Co (II) complexes with cyanopyridine derivatives: Quantitative structure, Computational assessment, and Biological …","FA Adam, YG Abou El-Reash, MG Ghoniem, RR Zaky","Journal of Molecular Structure 1308, 137947",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cwuGMP8AAAAJ,2,"Investigate the Effect of SiO2 on the Chelation Behavior of Benzothiazole Derivatives Towards, Ni(П), Co(П), and Cu(П) Metal Ions: Quantitative Structure, Cyclic …","FA Adam, YGA El-Reash, MG Ghoniem, RR Zaky","Silicon 16 (6), 2415-2439",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cwuGMP8AAAAJ,3,Efficient Pb (II) adsorption in aqueous solution by hierarchical 3D/2D TiO2/CNNS nanocomposite,"A Modwi, NM Basith, MG Ghoniem, M Ismail, MAB Aissa, L Khezami, ...","Materials Science and Engineering: B 289, 116191",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14227674335450300607,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:4DMP91E08xMC
cwuGMP8AAAAJ,4,Layer-by-layer development of chitosan/alginate-based platelet-mimicking nanocapsules for augmenting doxorubicin cytotoxicity against breast cancer,"A Ibrahim, IA Khalil, MY Mahmoud, AF Bakr, MG Ghoniem, ES Al-Farraj, ...","International Journal of Biological Macromolecules 225, 503-517",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9796714589649786751,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:M3ejUd6NZC8C
cwuGMP8AAAAJ,5,"Lattice dynamic, optical, and mechanical properties of nanostructured gallium antimonide (GaSb) semiconductor under the effect of pressure","MG Ghoniem, FA Adam, BY Abdulkhair, AM Abdelghany, EB Elkenany","Optical and Quantum Electronics 55 (13), 1162",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6009748702249807182,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:7PzlFSSx8tAC
cwuGMP8AAAAJ,6,3D-bioimplants mimicking the structure and function of spine units for the treatment of spinal tuberculosis,"S Yahia, IA Khalil, MG Ghoniem, IM El-Sherbiny","RSC advances 13 (25), 17340-17353",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5916109012454430732,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:QIV2ME_5wuYC
cwuGMP8AAAAJ,7,Photocatalytic decomposition of Congo red dye by black paste@TiO2 as an efficient recyclable photocatalyst,"MG Ghoniem, MA Ben Aissa, FA Adam, WM Daoush, M Khairy","Zeitschrift für Naturforschung A 78 (11), 1039-1050",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3587214707673145903,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:dhFuZR0502QC
cwuGMP8AAAAJ,8,An in-vitro quantitative investigation on the synergistic effect of capsaicin and 5-fluorouracil encapsulated into lipid nanocapsules to treat breast cancer,"Y Radwan, KK Arafa, MG Ghoniem, ES Al-Farraj, IM El-Sherbiny","Drug Development and Industrial Pharmacy 49 (3), 271-280",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1305047987639817287,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:9ZlFYXVOiuMC
cwuGMP8AAAAJ,9,Smart electrochemical sensor with enhanced sensitivity for the determination of antihypertensive drug felodipine,MG Ghoniem,"Measurement 211, 112647",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cwuGMP8AAAAJ,10,Correction: Mansour et al. Dual-Enhanced Pluronic Nanoformulated Methotrexate-Based Treatment Approach for Breast Cancer: Development and Evaluation of In Vitro and In Vivo …,"A Mansour, MY Mahmoud, AF Bakr, MG Ghoniem, FA Adam, ...","Pharmaceutics 15 (3), 994",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cwuGMP8AAAAJ,11,Fortified anti-proliferative activity of niclosamide for breast cancer treatment: In-vitro and in-vivo assessment,"A Mansour, MY Mahmoud, AF Bakr, MG Ghoniem, FA Adam, ...","Life Sciences 316, 121379",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cwuGMP8AAAAJ,12,Superior removal of dyes by mesoporous MgO/g-C3N4 fabricated through ultrasound method: Adsorption mechanism and process modeling,"A Modwi, L Khezami, MG Ghoniem, P Nguyen-Tri, O Baaloudj, A Guesmi, ...","Environmental Research 205, 112543",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15300959384505025217,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:Se3iqnhoufwC
cwuGMP8AAAAJ,13,Highly selective removal of cationic dyes from wastewater by MgO nanorods,"MG Ghoniem, FAM Ali, BY Abdulkhair, MRA Elamin, AM Alqahtani, ...","Nanomaterials 12 (6), 1023",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3247970973029602783,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:KlAtU1dfN6UC
cwuGMP8AAAAJ,14,"Enhanced adsorptive removal of indigo carmine dye by bismuth oxide doped MgO based adsorbents from aqueous solution: Equilibrium, kinetic and computational studies","FA Adam, MG Ghoniem, M Diawara, S Rahali, BY Abdulkhair, MR Elamin, ...","RSC advances 12 (38), 24786-24803",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4893478828283231244,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:_kc_bZDykSQC
cwuGMP8AAAAJ,15,Efficient and rapid removal of Pb (II) and Cu (II) heavy metals from aqueous solutions by MgO nanorods,"MG Ghoniem, MA Ben Aissa, FAM Ali, M Khairy","Inorganics 10 (12), 256",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2755554895404017659,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:aqlVkmm33-oC
cwuGMP8AAAAJ,16,Fabrication and adsorption studies of paste/TiO2 nanocomposites through recycling of spent dry batteries,"A Modwi, WM Daoush, M El-Eteaby, MAB Aissa, MG Ghoniem, M Khairy","Journal of Materials Science: Materials in Electronics 33 (32), 24869-24883",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14896670354212639415,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:4TOpqqG69KYC
cwuGMP8AAAAJ,17,In search of preferential macrocyclic hosts for sulfur mustard sensing and recognition: a computational investigation through the new composite method r2SCAN-3c of the key …,"FA Messiad, N Ammouchi, Y Belhocine, H Alhussain, MG Ghoniem, ...","Nanomaterials 12 (15), 2517",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=933116463160563779,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:ULOm3_A8WrAC
cwuGMP8AAAAJ,18,Dual-enhanced pluronic nanoformulated methotrexate-based treatment approach for breast cancer: Development and evaluation of in vitro and in vivo efficiency,"A Mansour, MY Mahmoud, AF Bakr, MG Ghoniem, FA Adam, ...","Pharmaceutics 14 (12), 2668",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2478412931852739172,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:qxL8FJ1GzNcC
cwuGMP8AAAAJ,19,Correction: Nanofibers of polycaprolactone containing hydroxyapatite doped with aluminum/vanadate ions for wound healing applications,"S Ashraf, MK Ahmed, HA Ibrahium, NS Awwad, E Abdel-Fattah, ...","New Journal of Chemistry 46 (4), 1984-1984",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=452599248079546649,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:3fE2CSJIrl8C
cwuGMP8AAAAJ,20,"DFT-D4 insight into the inclusion of amphetamine and methamphetamine in cucurbit [7] uril: energetic, structural and biosensing properties","A Litim, Y Belhocine, T Benlecheb, MG Ghoniem, Z Kabouche, FAM Ali, ...","Molecules 26 (24), 7479",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13999847314986998495,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:UebtZRa9Y70C
cwuGMP8AAAAJ,21,Nanofibers of polycaprolactone containing hydroxyapatite doped with aluminum/vanadate ions for wound healing applications,"S Ashraf, MK Ahmed, HA Ibrahium, NS Awwad, E Abdel-Fattah, ...","New Journal of Chemistry 45 (48), 22610-22620",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=975147953303309931,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:kNdYIx-mwKoC
cwuGMP8AAAAJ,22,A dispersion corrected DFT investigation of the inclusion complexation of dexamethasone with β-cyclodextrin and molecular docking study of its potential activity against COVID-19,"Y Belhocine, S Rahali, H Allal, IM Assaba, MG Ghoniem, FAM Ali","Molecules 26 (24), 7622",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11082996886552831983,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:hqOjcs7Dif8C
cwuGMP8AAAAJ,23,Exploration of Methylene Blue Degradation Over ZnO Nanorods Mechanism Using Scavenging Reagents,"TKK Ghoniem M. G, Talab S. A, Modwi A. K","Orient J Chem 37 (3), 609-618",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5906872216007512771,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:8k81kl-MbHgC
cwuGMP8AAAAJ,24,Sensitive electrochemical strategy via the construction of functionalized carbon nanotubes/ionic liquid nanocomposite for the determination of anaesthetic drug cinchocaine,"MG Ghoniem, MA Mohamed, GMG Eldin, A Errachid","Measurement 185, 110071",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12281513373563334576,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:LkGwnXOMwfcC
cwuGMP8AAAAJ,25,Impact of Sn ions on structural and electrical description of TiO2 nanoparticles,"M Salih, M Khairy, B Abdulkhair, MG Ghoniem, N Ibrahim, MA Ben Aissa, ...","Zeitschrift für Naturforschung A 76 (9), 835-846",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
cwuGMP8AAAAJ,26,Sol-Gel-Assisted Microwave-Derived Synthesis of Anatase Ag/TiO2/GO Nanohybrids toward Efficient Visible Light Phenol Degradation,"EH Alsharaeh, T Bora, A Soliman, F Ahmed, G Bharath, MG Ghoniem, ...","Catalysts 7 (5), 133",2017,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9520577950960778631,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cwuGMP8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=cwuGMP8AAAAJ:u-x6o8ySG0sC
