Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
djL1v-8AAAAJ,1,Enhanced oxidation of antibiotic residuals (Levofloxacin) using a green composite of ZnO@ polyaniline/bentonite (Zn@ PA/BE) as multifunctional photocatalyst under visible light,"MR Abukhadra, I Saad, JS Khim, JS Ajarem, AA Allam","International Journal of Environmental Analytical Chemistry 104 (4), 879-899",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7124902790973361163,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:HeT0ZceujKMC
djL1v-8AAAAJ,2,"Consequences of dietary cinnamon and ginger oils supplementation on blood biochemical parameters, oxidative status, and tissue histomorphology of growing Japanese quails","ME Abd El-Hack, MF AboElMaati, WF Abusudah, OF Awlya, ...","Poultry Science 103 (2), 103314",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9186470825462162058,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:YsrPvlHIBpEC
djL1v-8AAAAJ,3,"Facile synthesis of nitrogen, sulfur co-doped carbon quantum dots for selective detection of mercury (II)","H Ren, A Labidi, J Sun, AA Allam, JS Ajarem, MR Abukhadra, C Wang","Environmental Chemistry Letters 22 (1), 35-41",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3402147070962734169,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:FiDNX6EVdGUC
djL1v-8AAAAJ,4,"Effects of varying dietary microalgae levels on performance, egg quality, fertility, and blood biochemical parameters of laying Japanese quails (Coturnix coturnix Japonica)","ME Abd El-Hack, KA Majrashi, KG Fakiha, M Roshdy, M Kamal, RM Saleh, ...","Poultry Science 103 (4), 103454",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16512672785792827223,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:DrR-2ekChdkC
djL1v-8AAAAJ,5,Cost-effective layered double hydroxides/conductive polymer nanocomposites for electrochemical detection of wastewater pollutants,"M KAMEL, G Abd EL-FATAH, A ZAHER, AA FARGHALI, SI OTHMAN, ...","Chinese Journal of Analytical Chemistry 52 (3), 100368",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6612972433504841250,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:UuEBAcK4md4C
djL1v-8AAAAJ,6,Enhanced electrochemical degradation of perfluorooctanoic acid by ligand-bridged PtII at Pt anodes,"X Teng, Y Qi, R Guo, S Zhang, J Wei, JS Ajarem, S Maodaa, AA Allam, ...","Journal of Hazardous Materials 464, 133008",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8427128290023539251,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:ziOE8S1-AIUC
djL1v-8AAAAJ,7,Assessment of the UV/DCCNa and UV/NaClO oxidation process for the removal of diethyl phthalate (DEP) in the aqueous system,"S Zhang, J Wei, N Wu, AA Allam, JS Ajarem, S Maodaa, Z Huo, F Zhu, ...","Environmental Pollution 341, 122915",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1555432919023483714,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:F2UWTTQJPOcC
djL1v-8AAAAJ,8,Synthesis and characterization of chitosan hybridized zinc phosphate/hydroxyapatite core shell nanostructure and its potentiality as delivery system of oxaliplatin drug,"IR Sayed, HE Alfassam, MI El-Sayed, IM Abd El-Gaied, AA Allam, ...","International Journal of Biological Macromolecules 254, 127734",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11483917025067812170,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:w0F2JDEymm0C
djL1v-8AAAAJ,9,"Degradation of Butylated Hydroxyanisole by the Combined Use of Peroxymonosulfate and Ferrate (VI): Reaction Kinetics, Mechanism and Toxicity Evaluation","P Shi, X Yue, X Teng, R Qu, A Rady, S Maodaa, AA Allam, Z Wang, Z Huo","Toxics 12 (1), 54",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1165156418100949801,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:69ZgNCALVd0C
djL1v-8AAAAJ,10,"Impact of β-glucan dietary supplementation on productive, reproductive performance and physiological response of laying hens under heat stress conditions","W Ezzat, KM Mahrose, AM Rizk, MMM Ouda, IA Fathey, SI Othman, ...","Poultry Science 103 (1), 103183",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6333882133417351437,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:-95Q15plzcUC
djL1v-8AAAAJ,11,Boosted photocatalytic removal of NO using direct Z-scheme UiO-66-NH2/Bi2MoO6 nanoflowers heterojunction: mechanism insight and humidity effect,"JYS Liang, HT Ren, A Labidi, QH Zhu, QB Dong, AA Allam, A Rady, ...",Rare Metals 1-13,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6988739340380049259,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:v6i8RKmR8ToC
djL1v-8AAAAJ,12,Dietary supplementation with Dunaliella salina microalga promotes quail growth by altering lipid profile and immunity,"M Alagawany, A Lestingi, HA Abdelzaher, SS Elnesr, M Madkour, ...","Poultry Science 103 (5), 103591",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9586452003841723002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:silx2ntsSuwC
djL1v-8AAAAJ,13,Insight into the catalytic performances of Fe0@ chitosan/cellulose green hybrid structure for enhanced photo-Fenton's oxidation of levofloxacin toxic residuals: Pathway and …,"SI Othman, HE Alfassam, HA Alqhtani, MA Al-Waili, AA Allam, ...","International Journal of Biological Macromolecules 265, 130615",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2865282360932933869,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:UmS_249rOGwC
djL1v-8AAAAJ,14,"Does dietary supplementation with lettuce seed oil enhance broiler performance, immunity, lipid profile, liver and kidney functions, antioxidant parameters, and intestinal …","MS Soliman, SYA Qattan, FM Reda, LA Mohamed, SA Mahgoub, ...","Poultry Science 103 (3), 103409",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11283716380688482290,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:eO3_k5sD8BwC
djL1v-8AAAAJ,15,Insight into the Catalytic Performance of a Zinc-Pillared Curcumin/Bentonite Composite for Enhanced Oxidation of Ibuprofen Residuals into Environmental Products: The Pathway …,"SI Othman, MH Shemy, HE Alfassam, HA Alqhtani, AA Allam, ...","Catalysts 14 (2), 129",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3414607709112031935,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:65Yg0jNCQDAC
djL1v-8AAAAJ,16,Investigation of ternary Zn–Co–Fe layered double hydroxide as a multifunctional 2D layered adsorbent for moxifloxacin and antifungal disinfection,"R Mahmoud, NM Kotb, Y GadelHak, FIA El-Ela, AZ Shehata, SI Othman, ...","Scientific Reports 14 (1), 806",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2333217886574697428,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=djL1v-8AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=djL1v-8AAAAJ:mWEH9CqjF64C
djL1v-8AAAAJ,17,"Effects of immersing Japanese quail eggs in various doses of riboflavin on reproductive, growth performance traits, blood indices and economics","AAM Gomaa, AA Rashwan, MI Tewfik, DE Abou-Kassem, IM Youssef, ...","Poultry Science 103 (8), 103858",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
djL1v-8AAAAJ,18,"Impact of packaging atmosphere, oregano essential oil, and storage temperature on cold-adapted Salmonella Enteritidis and Salmonella Typhimurium on ready-to-eat smoked turkey","SA Mahgoub, SYA Qattan, F AlMalki, M Kamal, AF Alqurashi, ...","Poultry Science 103 (7), 103846",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
djL1v-8AAAAJ,19,Performance and economic efficiency of laying hens in response to adding zeolite to feed and litter,"AI Elsherbeni, IM Youssef, RE Hamouda, M Kamal, GM El-Gendi, ...","Poultry Science 103 (7), 103799",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
