Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
fTJnl8MAAAAJ,1,Crucial role of interfacial interaction in 2D polar SiGe/GeC heterostructures,"SAR Alharbi, M Yu","Journal of Physics: Condensed Matter 36 (21), 215301",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15583318217577900304,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fTJnl8MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fTJnl8MAAAAJ:W7OEmFMy1HYC
fTJnl8MAAAAJ,2,Vertical Heterostructure of 2D Polar Binary Compounds (GeC/SiGe): First-Principles study,"S Alharbi, AN Alharbi, M Yu","APS March Meeting Abstracts 2023, GG10. 005",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fTJnl8MAAAAJ,3,Insight into the stacking and the species-ordering dependences of interlayer bonding in SiC/GeC polar heterostructures,"KJ Tasnim, SAR Alharbi, MRK Musa, SH Lovell, ZA Akridge, M Yu","Nanotechnology 33 (15), 155706",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3206225930148441090,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fTJnl8MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fTJnl8MAAAAJ:u5HHmVD_uO8C
fTJnl8MAAAAJ,4,The first-principles study of structural and electronic properties of two-dimensional SiC/GeC lateral polar heterostructures,"SAR Alharbi, KJ Tasnim, M Yu",Journal of Applied Physics 132 (18),2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10921516329823765063,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fTJnl8MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fTJnl8MAAAAJ:qjMakFHDy7sC
fTJnl8MAAAAJ,5,Strain and interface effects on the stability and electronic properties of SiGe/GeC lateral heterostructure,"S Alharbi, KJ Tasnim, M Yu","APS March Meeting Abstracts 2022, G47. 007",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fTJnl8MAAAAJ,6,Stacking and species ordering depended electronic properties of SiC/GeC bilayer heterostructur,"KJ Tasnim, SAR Alharbi, MRK Musa, SH Lovell, ZA Akridge, M Yu","APS March Meeting Abstracts 2022, M31. 004",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fTJnl8MAAAAJ,7,First principles study of the structural and electronic properties of the in-plane SiC/GeC heterostructures,"S Alharbi, KJ Tasnim, M Yu","APS March Meeting Abstracts 2021, F42. 009",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fTJnl8MAAAAJ,8,The role of the electrostatic interlayer interaction in SiC/GeC heterostructures,"KJ Tasnim, SAR Alharbi, MRK Musa, SH Lovell, ZA Akridge, M Yu","APS March Meeting Abstracts 2021, R55. 005",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fTJnl8MAAAAJ,9,The effect of van der Waals force on two-dimensional SiC/GeC heterostructures,"S Alharbi, M Yu",Bulletin of the American Physical Society 65,2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fTJnl8MAAAAJ,10,Anisotropic and Nonlinear Mechanical Properties in Two-dimensional Nanomaterials,"EL Ming Yu, Congyan Zhang, Safia Abdullah R Alharbi, Anna Zeng, Kevin Zeng","Advanced Materials Letters 10 (12), 880-886",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=458785512638764629,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fTJnl8MAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fTJnl8MAAAAJ:Y0pCki6q_DkC
fTJnl8MAAAAJ,11,Strain induced bandgap engineering on two-dimensional SiC/GeC in-plane heterostructures,"SAR Alharbi, M Yu","APS March Meeting Abstracts 2018, H12. 008",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
