Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
fa2aju0AAAAJ,1,A new transform for solving linear second-orders ODE with variable coefficients,L Bougoffa,"International Journal of Mathematics and Physics 15 (1), 40-48",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fa2aju0AAAAJ,2,A Generalization of Wayment’s Mean Value Theorem for Integrals,L Bougoffa,The American Mathematical Monthly 1-3,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fa2aju0AAAAJ,3,Approximate and Parametric Solutions to SIR Epidemic Model,"L Bougoffa, S Bougouffa, A Khanfer","Axioms 13 (3), 201",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fa2aju0AAAAJ,4,Qualitative analysis on the electrohydrodynamic flow equation,"L Bougoffa, A Khanfer, S Bougouffa","AIMS Mathematics 9 (1), 775-791",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fa2aju0AAAAJ,5,On the approximation of the modified error function,"S Bougouffa, A Khanfer, L Bougoffa","Mathematical Methods in the Applied Sciences 46 (10), 11657-11665",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3152151899304497219,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:cFHS6HbyZ2cC
fa2aju0AAAAJ,6,Analytic approximate solution of the extended blasius equation with temperature-dependent viscosity,"A Khanfer, L Bougoffa, S Bougouffa","Journal of Nonlinear Mathematical Physics 30 (1), 287-302",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10938670988362126921,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:bFI3QPDXJZMC
fa2aju0AAAAJ,7,A new recursive scheme for solving the general dispersive fractional partial differential equation,"A Mennouni, L Bougoffa","Rom. Rep. Phys 75, 112",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14659906364318006963,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:abG-DnoFyZgC
fa2aju0AAAAJ,8,A Stefan problem with nonlinear thermal conductivity,"A Khanfer, L Bougoffa","Mathematical Methods in the Applied Sciences 46 (4), 4602-4611",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8203652827277046526,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:_xSYboBqXhAC
fa2aju0AAAAJ,9,An Analysis of the One-Phase Stefan Problem with Variable Thermal Coefficients of Order p,"L Bougoffa, S Bougouffa, A Khanfer","Axioms 12 (5), 497",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3745023007003034432,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:xtRiw3GOFMkC
fa2aju0AAAAJ,10,"Generalized Thomas-Fermi equation: existence, uniqueness, and analytic approximation solutions","L Bougoffa, S Bougouffa, A Khanfer","AIMS Math 8, 10529-10546",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1482069057144979251,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:b0M2c_1WBrUC
fa2aju0AAAAJ,11,A Nonclassical Stefan Problem with Nonlinear Thermal Parameters of General Order and Heat Source Term,"A Khanfer, L Bougoffa, S Bougouffa","Axioms 13 (1), 14",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fa2aju0AAAAJ,12,New Explicit and Approximate Solutions of the Newton-Schrödinger System,"L Bougoffa, A Khanfer, S Bougouffa","Journal of Nonlinear Mathematical Physics 30 (2), 795-812",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fa2aju0AAAAJ,13,A new recursive scheme for solving a fractional differential equation of ray tracing through the crystalline lens,"A Mennouni, L Bougoffa, AM Wazwaz","Optical and Quantum Electronics 54 (6), 373",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11986845733979909074,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:dfsIfKJdRG4C
fa2aju0AAAAJ,14,Families of exact soliton solutions to the AB nonlinear system,"L Bougoffa, A Mennouni, AM Wazwaz","Rom. Rep. Phys. 74, 106",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12010907460297141531,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:u_35RYKgDlwC
fa2aju0AAAAJ,15,Further real dark and complex bright solutions to the new coupled Konno-Oono system,"L Bougoffa, A Mennouni, AM Wazwaz","Rom. J. Phys. 67, 106",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11448075439249589895,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:fPk4N6BV_jEC
fa2aju0AAAAJ,16,A new recursive scheme for solving the general fractional differential equation of the nonlinear Lienard’s equation,"A Mennouni, L Bougoffa",International Journal of Numerical Methods for Heat & Fluid Flow 32 (11 …,2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9183595492286098522,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:4OULZ7Gr8RgC
fa2aju0AAAAJ,17,An adaptation of the modified decomposition method in solving nonlinear initial-boundary value problems for ODEs,"L Bougoffa, RC Rach","Journal of Applied Mathematics and Computing 68 (4), 2787-2802",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3303088498292135829,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:ZHo1McVdvXMC
fa2aju0AAAAJ,18,On a generalization of a coupled integrable dispersionless system,"L Bougoffa, S Bougouffa, A Khanfer","Results in Physics 39, 105761",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
fa2aju0AAAAJ,19,"On the existence, uniqueness, and new analytic approximate solution of the modified error function in two‐phase Stefan problems.","L Bougoffa, RC Rach, A Mennouni",Mathematical Methods in the Applied Sciences 44 (14),2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12237496206520572469,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=fa2aju0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=fa2aju0AAAAJ:70eg2SAEIzsC
