Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
gE1xITYAAAAJ,1,Interaction of a four-level atom with a quantized field in the presence of a nonlinear Kerr medium,"S Almalki, K Berrada, S Abdel-Khalek, H Eleuch","Scientific Reports 14 (1), 1141",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10628035521468837378,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gE1xITYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=gE1xITYAAAAJ:t7zJ5fGR-2UC
gE1xITYAAAAJ,2,EPR steering and parameter estimation in the context of dephasing of two interacting qubits,"K Berrada, O Aldaghri, A Sabik, H Eleuch","Results in Physics 60, 107689",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
gE1xITYAAAAJ,3,Photon-Added Deformed Peremolov Coherent States and Quantum Entanglement,K Berrada,"Axioms 13 (5), 289",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
gE1xITYAAAAJ,4,Quantum model in the context of six-level atom and deformed Lie algebra: Entanglement and statistical properties,"S Abdel-Khalek, M Algarni, K Berrada",AIP Advances 14 (3),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
gE1xITYAAAAJ,5,Quantum steering and coherence evolution of two atoms under noisy environments,"K Berrada, A Sabik, H Eleuch","Results in Physics 58, 107426",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
gE1xITYAAAAJ,6,Geometric phase and Wehrl phase entropy for two superconducting qubits in a coherent field system under the effect of nonlinear medium,"K Berrada, A Sabik, EM Khalil, S Abdel-Khalek","Chaos, Solitons & Fractals 178, 114371",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
gE1xITYAAAAJ,7,Entanglement and coherence in a system of two atoms in the presence of Kerr medium and field dissipation,"K Berrada, S Abdel-Khalek, A Alkaoud, H Eleuch","Results in Physics 44, 106172",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13612575435487211020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gE1xITYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=gE1xITYAAAAJ:JQOojiI6XY0C
gE1xITYAAAAJ,8,"Coherence, purity and correlation for superconducting charge qubits","K Berrada, S Abdel-Khalek, M Algarni","Results in Physics 48, 106414",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=872549612900216467,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gE1xITYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=gE1xITYAAAAJ:NJ774b8OgUMC
gE1xITYAAAAJ,9,System of six-level atom interacting with a quantized field in the existence of time-varying coupling,"M Algarni, K Berrada, S Abdel-Khalek, H Eleuch","Results in Physics 45, 106233",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13274929648974502106,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gE1xITYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=gE1xITYAAAAJ:W5xh706n7nkC
gE1xITYAAAAJ,10,Entanglement and Fisher information for two superconducting qubits interacting with a deformed field,"BM Raffah, K Berrada, S Abdel-Khalek, Y Al-Hadeethi","Optical and Quantum Electronics 55 (2), 150",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4338199988705619053,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gE1xITYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=gE1xITYAAAAJ:_Ybze24A_UAC
gE1xITYAAAAJ,11,Classical and quantum correlations between two qubits interacting with a field in thermal spin states,"M Algarni, S Abdel-Khalek, K Berrada","Laser Physics Letters 20 (9), 095209",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12534763217895594004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gE1xITYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=gE1xITYAAAAJ:2KloaMYe4IUC
gE1xITYAAAAJ,12,Quantum coherence and nonlocality of two qubits in the presence of a common dephasing environment,"K Berrada, A Sabik, H Eleuch","Results in Physics 51, 106666",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1422698138691397466,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gE1xITYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=gE1xITYAAAAJ:tKAzc9rXhukC
gE1xITYAAAAJ,13,Quantum entanglement and coherence in a system of four-level atom interacting with a nonlinear field,"BM Raffah, K Berrada, S Abdel-Khalek, AB Alruqi","Modern Physics Letters A 38 (20n21), 2350094",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17030850977769519583,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gE1xITYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=gE1xITYAAAAJ:35r97b3x0nAC
gE1xITYAAAAJ,14,Einstein–Podolsky–Rosen steering and coherence in structured environments,"K Berrada, H Eleuch","Laser Physics Letters 20 (8), 085201",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3033522083717824125,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gE1xITYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=gE1xITYAAAAJ:ZfRJV9d4-WMC
gE1xITYAAAAJ,15,Effects of Dipole-Dipole Interaction and Time-Dependent Coupling on the Evolution of Entanglement and Quantum Coherence for Superconducting Qubits in a Nonlinear Field System,"K Berrada, M Algarni, M Marin, S Abdel-Khalek","Symmetry 15 (3), 732",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2280630407995448373,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=gE1xITYAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=gE1xITYAAAAJ:kzcrU_BdoSEC
gE1xITYAAAAJ,16,Quantum discord and Fisher information for two-qubit system in the presence of thermal fields,"M Algarni, S Abdel-Khalek, K Berrada",AIP Advances 13 (12),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
gE1xITYAAAAJ,17,"Entanglement, quantum coherence and quantum Fisher information of two qubit-field systems in the framework of photon-excited coherent states","S Abdel-Khalek, M Algarni, M Marin, K Berrada","Optical and Quantum Electronics 55 (14), 1288",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
