Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
k1RNOy0AAAAJ,1,A comparative study of pyridine and pyrimidine derivatives based formamidine for copper corrosion inhibition in nitric acid: Experimental and computational exploration,"A Fawzy, OK Alduaij, A Al-Bahir, DA Alshammari, N Alqarni, AM Eldesoky, ...","International Journal of Electrochemical Science 19 (1), 100403",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14175285950403395285,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k1RNOy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k1RNOy0AAAAJ:uWiczbcajpAC
k1RNOy0AAAAJ,2,"Electrochemical, spectroscopic, kinetic and surface analysis of the inhibitory performance of Alcian blue dye for copper corrosion in sulfuric acid solution","A Fawzy, A Toghan, OK Alduaij, N Alqarni, AM Eldesoky, AA Farag","International Journal of Electrochemical Science 19 (1), 100429",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1972695423389226012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k1RNOy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k1RNOy0AAAAJ:AvfA0Oy_GE0C
k1RNOy0AAAAJ,3,Effect of adsorption and interactions of new triazole-thione-Schiff bases on the corrosion rate of carbon steel in 1 M HCl solution: theoretical and experimental evaluation,"A Toghan, OK Alduaij, A Fawzy, AM Mostafa, AM Eldesoky, AA Farag","ACS omega 9 (6), 6761-6772",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1203515404109345955,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k1RNOy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k1RNOy0AAAAJ:Z5m8FVwuT1cC
k1RNOy0AAAAJ,4,"Electrochemical, gravimetric, quantum chemical and computational investigations on an effective synthetic chlorinated cyclic imide derivative as a corrosion inhibitor for …","A Toghan, AA Farag, OK Alduaij, HM Elabbasy, HM Dardeer, EM Masoud, ...","Journal of Molecular Structure 1307, 138040",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8315547606309227169,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k1RNOy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k1RNOy0AAAAJ:BUYA1_V_uYcC
k1RNOy0AAAAJ,5,Corrosion inhibition performance of copper using N-benzylhy-drazinecarbothioamide in a 3.5% NaCl solution,"A Toghan, H Alhussain, A Attia, OK Alduaij, A Fawzy, AM Eldesoky, ...","Journal of Electrochemical Science and Engineering 14 (2), 231-245",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18179846735729383936,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k1RNOy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k1RNOy0AAAAJ:p__nRnzSRKYC
k1RNOy0AAAAJ,6,"Cysteine as an Eco-Friendly Anticorrosion Inhibitor for Mild Steel in Various Acidic Solutions: Electrochemical, Adsorption, Surface Analysis, and Quantum Chemical Calculations","HM Elabbasy, A Toghan, HS Gadow","ACS omega 9 (11), 13391-13411",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4536067276033937359,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k1RNOy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k1RNOy0AAAAJ:vbGhcppDl1QC
k1RNOy0AAAAJ,7,"Corrosion inhibition performance of new Schiff base cyclohexanamine derivatives on C-steel in 1 M HCl solution: electrochemical, chemical, surface and computational explorations","AA Farag, AAA Alayyafi, H Alhussain, A Fawzy, EM Masoud, A Toghan","Inorganic Chemistry Communications 163, 112339",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10518991733038598898,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k1RNOy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k1RNOy0AAAAJ:L7CI7m0gUJcC
k1RNOy0AAAAJ,8,"Development of an efficient, low-operating-pressure graphene oxide/polyethersulfone nanofiltration membrane for removing various water contaminants","NA Elessawy, J Exley, DS El-Sayed, A Toghan, SA Al-Hussain, M Elzokm, ...","Journal of Environmental Chemical Engineering 12 (2), 112489",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10362858829503359764,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k1RNOy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k1RNOy0AAAAJ:EYYDruWGBe4C
k1RNOy0AAAAJ,9,One-pot synthesis of TiO2-decorated SnSe/ZnS as a novel anode material with promoted storage capacity and cyclability in lithium-ion batteries,"MMS Sanad, NK Meselhy, MS Eraky, A Toghan","Journal of Materials Science: Materials in Electronics 35 (12), 850",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16367706986895930246,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k1RNOy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k1RNOy0AAAAJ:ILKRHgRFtOwC
k1RNOy0AAAAJ,10,"Effective Treatment Methodology for Environmental Safeguard Catalytic Degradation of Fluconazole by Permanganate Ions in Different Acidic Environments: Kinetics, Mechanistics …","A Toghan, A Fawzy, N Alqarni, AM Eldesoky, OK Alduaij, AA Farag","ACS omega 9 (9), 10190-10200",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13005122029382968183,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=k1RNOy0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=k1RNOy0AAAAJ:ML0RJ9NH7IQC
