Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
kqNsiRwAAAAJ,1,"Design, Synthesis, and Biological Evaluation of Newly Synthesized Cinnamide-Fluorinated Containing Compounds as Bioactive Anticancer Agents","D Nasser Binjawhar, FA Al-Salmi, MA Alghamdi, A Alqahtani, E Fayad, ...","ACS omega 9 (16), 18505-18515",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17130866985565556659,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kqNsiRwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=kqNsiRwAAAAJ:eQOLeE2rZwMC
kqNsiRwAAAAJ,2,"Indisputable roles of different ionic liquids, deep eutectic solvents and nanomaterials in green chemistry for sustainable organic synthesis",AS Alqahtani,"Journal of Molecular Liquids 399, 124469",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12711971047485854811,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kqNsiRwAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=kqNsiRwAAAAJ:W7OEmFMy1HYC
kqNsiRwAAAAJ,3,"Dietary algal-sourced zinc nanoparticles promote growth performance, intestinal integrity, and immune response of Nile tilapia (Oreochromis niloticus)","E Zahran, S Elbahnaswy, AIA Mansour, E Risha, A Mustafa, A Alqahtani, ...","BMC Veterinary Research 20 (1), 276",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
kqNsiRwAAAAJ,4,Unveiling dynamics of nitrogen content and selected nitrogen heterocycles in thrombin inhibitors: a ceteris paribus approach,"VH Masand, S Al-Hussain, AY Alzahrani, AA Al-Mutairi, ...",Expert Opinion on Drug Discovery 1-19,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
kqNsiRwAAAAJ,5,"Novel hybrid thiazoles, bis-thiazoles linked to azo-sulfamethoxazole: Synthesis, docking, and antimicrobial activity","ME Salem, IA Abdelhamid, AHM Elwahy, MA Ragheb, A sultan Alqahtani, ...",Heliyon 10 (10),2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
kqNsiRwAAAAJ,6,"Computational design and experimental investigation of novel thiophene-based organic dyes with N, N-dimethylaminophenyl and morpholinophenyl donors for dye-sensitized solar cells","MR Elmorsy, FH Abdelhamed, A sultan Alqahtani, E Abdel-Latif, ...","Optical Materials 151, 115386",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
kqNsiRwAAAAJ,7,Preparation and characterization of citreorosein nanoparticles with improved bioavailability and cytotoxic potential,"H Ali, Y Shah, RM Alnemari, F Khuda, AAK Khalil, AS Alqahtani, ...","Journal of Saudi Chemical Society 28 (3), 101855",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
kqNsiRwAAAAJ,8,"Powerful Approach for New Drugs as Antibacterial Agents via Molecular Docking and In Vitro Studies of Some New Cyclic Imides and Quinazoline-2, 5-diones","D Nasser Binjawhar, OA Abu Ali, AS Alqahtani, E Fayad, AM Abo-Bakr, ...","ACS omega 9 (16), 18566-18575",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
kqNsiRwAAAAJ,9,Sustainable fluorescence derivatization approach for spectrofluorimetric quantification of methylphenidate hydrochloride in pharmaceutical formulation and spiked human plasma,"AH Almalki, AS Alqahtani, MA Algarni, AK Bamaga, FT Alsulami, ...","Journal of Molecular Structure 1299, 137326",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
kqNsiRwAAAAJ,10,Derivative spectroscopy and wavelet transform as green  spectrophotometric methods for abacavir and lamivudine measurement,"AS Shaker T. Alsharif , Atiah H. Almalki , Sherif Ramzy , Arwa Sultan ...","Spectrochimica Acta Part A:  Molecular and Biomolecular Spectroscopy 310, 23913",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
kqNsiRwAAAAJ,11,Spectrofluorometric quantitative analysis of aripiprazole based on quenching of natural derived carbon quantum dots in spiked human plasma,"AAAAHA SalehI.Alaqel, ArwaS.Alqahtani,AdnanAlharbi,YusufS.Althobaiti, Ahmed ...","Scientific Reports 13, 21048",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
