Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
loWlieoAAAAJ,1,Structural and dynamical basis of VP35-RBD inhibition by marine fungi compounds to combat marburg virus infection,"AS Alawam, HS Alawam, MM Alshahrani, MS Alwethaynani, ...","Marine Drugs 22 (1), 34",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4052122130558644027,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=loWlieoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=loWlieoAAAAJ:KlAtU1dfN6UC
loWlieoAAAAJ,2,Comparative Study of Self-assembly Bioflocculant from Multiple Consortium Utilizing Peanut Hull and Wheat Bran Hydrolyte with Green Synthesized Nanoparticles on Various …,"LM Alneghery, M Al-Zharani, FA Nasr, AA Qurtam, A Bepari, P Manickam, ...",Journal of Inorganic and Organometallic Polymers and Materials 1-17,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
loWlieoAAAAJ,3,"A hierarchical approach towards identification of novel inhibitors against L, D-transpeptidase YcbB as an anti-bacterial therapeutic target","AS Alawam, L M. Alneghery, MS Alwethaynani, MA Alamri",Journal of Biomolecular Structure and Dynamics 1-11,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
loWlieoAAAAJ,4,"An Extensive Examination of the Warning Signs, Symptoms, Diagnosis, Available Therapies, and Prognosis for Lumpy Skin Disease","B Datten, AA Chaudhary, S Sharma, L Singh, KD Rawat, MS Ashraf, ...","viruses 15 (604), 1-15",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10990966360172407429,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=loWlieoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=loWlieoAAAAJ:ufrVoPGSRksC
loWlieoAAAAJ,5,Biological Activities of Sargassum Algae Mediated ZnO and Co Doped ZnO Nanoparticles as Enhanced Antioxidant and Anti-Diabetic Agents,"HA Rudayni, AM Rabie, M Aladwani, LM Alneghery, GM Abu-Taweel, ...","Molecules 28 (9), 3692",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16135660118023455066,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=loWlieoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=loWlieoAAAAJ:hqOjcs7Dif8C
loWlieoAAAAJ,6,Synthesis and Biological Activity Evaluations of Green ZnO-Decorated Acid-Activated Bentonite-Mediated Curcumin Extract (ZnO@CU/BE) as Antioxidant and Antidiabetic Agents,"HA Rudayni, MH Shemy, M Aladwani, LM Alneghery, GM Abu-Taweel, ...","Journal of Functional Biomaterials 14 (4), 198",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15425542878729751688,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=loWlieoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=loWlieoAAAAJ:Se3iqnhoufwC
loWlieoAAAAJ,7,Biological characterization of microwave based synthesized ZnO and Ce doped ZnO nanoflowers impeded chitosan matrix with enhanced antioxidant and anti-diabetic properties,"HA Rudayni, NA Alenazi, AM Rabie, M Aladwani, LM Alneghery, ...","International Journal of Biological Macromolecules 242, 124713",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17939732199682255499,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=loWlieoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=loWlieoAAAAJ:MXK_kJrjxJIC
loWlieoAAAAJ,8,Insight into the potential antioxidant and antidiabetic activities of scrolled kaolinite single sheet (KNs) and its composite with ZnO nanoparticles: synergetic studies,"HA Rudayni, M Aladwani, LM Alneghery, AA Allam, MR Abukhadra, ...","Minerals 13 (4), 567",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6114613818043772920,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=loWlieoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=loWlieoAAAAJ:UebtZRa9Y70C
loWlieoAAAAJ,9,Berberine enhances the sensitivity of radiotherapy in ovarian cancer cell line (SKOV-3),"MS Aleissa, ALZ Mohammed, LM Alneghery, AM Aleissa","Saudi Pharmaceutical Journal 31 (1), 110-118",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4955719314706274076,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=loWlieoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=loWlieoAAAAJ:Y0pCki6q_DkC
loWlieoAAAAJ,10,Synthesis and Characterization of Green Zinc-Metal-Pillared Bentonite Mediated Curcumin Extract (Zn@CN/BE) as an Enhanced Antioxidant and Anti-Diabetes Agent,"S Bellucci, HA Rudayni, MH Shemy, M Aladwani, LM Alneghery, AA Allam, ...","Inorganics 2023 (11), 154",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4933743198002201178,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=loWlieoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=loWlieoAAAAJ:roLk4NBRz8UC
