Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
lsZm8icAAAAJ,1,"Syzygium aromaticum Bud Extracted Core–Shell Ag–Fe Bimetallic Nanoparticles: Phytotoxic, Antioxidant, Insecticidal, and Antibacterial Properties","F Murtaza, N Akhter, MA Qamar, A Yaqoob, AA Chaudhary, BR Patil, ...","Crystals 14 (6), 510",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lsZm8icAAAAJ,2,The Biocidal capacity of Datura (Datura stramonium L.) leaves and flowers and Cannabis (Cannabis sativa L.) seeds on some Mosqutos larvae (Diptera:Culicidae),NS Basher,"Research Journal of Biotechnology 4 (19), 47-53",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lsZm8icAAAAJ,3,"Cytotoxic, antioxidant, antibacterial activity of phytochemicals from Phragmanthera austroarabica","MSA Alsubeie, NA Ibrahim, AA Alghamdi, NS Basher, BS Alammari, ...","Bioinformation 20 (5), 487-494",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lsZm8icAAAAJ,4,"Syzygium Aromaticum Bud Extracted Core-Shell Ag-Fe Bimetallic Nanoparticles: Phytotoxic, Antioxidant, Insecticidal, and Antibacterial Properties","MSA Anis Ahmad Chaudhary,Nasir Adam Ibrahim",molecules 0-0,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lsZm8icAAAAJ,5,Nanostructured material‐based optical and electrochemical detection of amoxicillin antibiotic,"M Imran, S Ahmed, AZ Abdullah, J Hakami, AA Chaudhary, HA Rudayni, ...","Luminescence 38 (7), 1064-1086",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13029224855973074793,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lsZm8icAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lsZm8icAAAAJ:WF5omc3nYNoC
lsZm8icAAAAJ,6,"Nanocatalyst-based biofuel generation: an update, challenges and future possibilities","A Pramanik, AA Chaudhary, A Sinha, KK Chaubey, MS Ashraf, NS Basher, ...","Sustainability 15 (7), 6180",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10556362581036214196,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lsZm8icAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lsZm8icAAAAJ:Se3iqnhoufwC
lsZm8icAAAAJ,7,Specialized pro-resolving lipid mediators regulate inflammatory macrophages: A paradigm shift from antibiotics to immunotherapy for mitigating COVID-19 pandemic,"V Kumar, N Yasmeen, AA Chaudhary, AS Alawam, M Al-Zharani, ...","Frontiers in molecular biosciences 10, 1104577",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5782449312178917120,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lsZm8icAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=lsZm8icAAAAJ:roLk4NBRz8UC
lsZm8icAAAAJ,8,"Nutritional, Antioxidant and Antimicrobial of the Fermented leaves of Kawal (Cassia obtusifolia) from two Sudanese Regions","FIAA Nosyba A. Ibrahim1,2, Elgasim A. Elgasim1 , Sulafa B. H. Hashim2,3 ...","Journal of Chemical and Pharmaceutical Research 15 (4), 19-32",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lsZm8icAAAAJ,9,"Original Article: Association of Aquatic Weed Abundance and Water Quality, Gezira Scheme Canals, Sudan","NSB Samah O. A. Alhadari1 , Awadallah B. Dafaallah2,3*, Mohamed S. Zaroug2 ...","J Res Weed Sci. 6 (1), 10-22",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
lsZm8icAAAAJ,10,Salsola kali as a Potential Source of Antibacterial Agents; A Case Study from the Southwestern Mountains of Saudi Arabia,"NHBFIAA Ahmed Ali Alghamdi1 , Nasir Adam Ibrahim2*",International Journal of Biotech Trends and Technology 13 (Volume 13 Issue 1 …,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
