Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
midpegMAAAAJ,1,Mathematical modeling and simulation for malaria disease transmission using the CF fractional derivative,K Masood,"Alexandria Engineering Journal 101, 193-204",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
midpegMAAAAJ,2,Geometrization of String Cloud Spacetime in General Relativity,khalid Masood,"AIMS Mathematics 8 (12), 29042–29057",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
midpegMAAAAJ,3,Approximate Analytic Solutions of Transient Nonlinear Heat Conduction with Temperature‐Dependent Thermal Diffusivity,"MT Mustafa, AFM Arif, K Masood","Abstract and Applied Analysis 2014 (1), 423421",2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12816348833155422483,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=midpegMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=midpegMAAAAJ:aqlVkmm33-oC
midpegMAAAAJ,4,Solution of the initial inverse problems in the heat equation using the finite difference method with positivity-preserving padé Schemes,"K Masood, M Yousuf","Numerical Heat Transfer, Part A: Applications 57 (9), 691-708",2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13737894117668531464,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=midpegMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=midpegMAAAAJ:mVmsd5A6BfQC
midpegMAAAAJ,5,Symmetry solutions of a nonlinear elastic wave equation with third-order anharmonic corrections,"MT Mustafa, K Masood","Applied Mathematics and Mechanics 30, 1017-1026",2009,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10438858492654080447,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=midpegMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=midpegMAAAAJ:kNdYIx-mwKoC
midpegMAAAAJ,6,Stabilizing of an ill-posed inverse problem by using smoothing splines and hyperbolic heat equation,"K Masood, MT Mustafa","Inverse Problems in Science and Engineering 16 (2), 233-247",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6844333484665232905,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=midpegMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=midpegMAAAAJ:Se3iqnhoufwC
midpegMAAAAJ,7,Recovery of medium properties in three dimensions with three-dimensional parameters variability,"K Masood, FD Zaman","Journal of Technical Physics 48 (1), 29-38",2007,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
midpegMAAAAJ,8,Inverse scattering in multilayer inverse problem in the presence of damping,"FD Zaman, K Masood, Z Muhiameed","Applied mathematics and computation 176 (2), 455-461",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3056754698240842393,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=midpegMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=midpegMAAAAJ:YsMSGLbcyi4C
midpegMAAAAJ,9,Testing of the inverse problem with constant-background in the presence of damping in a single layer,"FD Zaman, K Masood, Z Muhiameed","Bollettino di Geofisica Teorica ed Applicata 47 (4), 577-590",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
midpegMAAAAJ,10,Investigation of the direct and inverse solutions for torsional waves propagating in a cylinder,"FD Zaman, K Masood","Applied mathematics and computation 173 (2), 1238-1245",2006,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
midpegMAAAAJ,11,Recovery of variation in density and bulk modulus in the presence of damping,"FD Zaman, K Masood, Z Muhiameed","FAR EAST JOURNAL OF MATHEMATICAL SCIENCES 17 (1), 93",2005,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1357227865023590161,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=midpegMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=midpegMAAAAJ:UeHWp8X0CEIC
midpegMAAAAJ,12,Direct and inverse acoustic scattering problem over a two-part impedance ground in a moving fluid by using Wiener-Hopf technique,"FD Zaman, K Masood","Journal of Technical Physics 46 (1), 23-35",2005,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
midpegMAAAAJ,13,Initial inverse problem in a two-layer heat conduction model,"K Masood, FD Zaman","Arabian Journal for Science and Engineering 29 (1), 3-12",2004,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14899160418212260381,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=midpegMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=midpegMAAAAJ:dhFuZR0502QC
midpegMAAAAJ,14,Initial inverse problem in heat equation with Bessel operator,"K Masood, S Messaoudi, FD Zaman","International Journal of Heat and Mass Transfer 45 (14), 2959-2965",2002,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13328462567643648964,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=midpegMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=midpegMAAAAJ:4DMP91E08xMC
midpegMAAAAJ,15,An inversion procedure for the recovery of propagation speed and damping of the medium,"FD Zaman, K Masood","NUOVO CIMENTO-SOCIETA ITALIANA DI FISICA SEZIONE C 25 (3), 263-272",2002,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17330814359536406358,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=midpegMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=midpegMAAAAJ:TQgYirikUcIC
