Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
moKsDBQAAAAJ,1,Structural and dynamical basis of VP35-RBD inhibition by marine fungi compounds to combat marburg virus infection,"AS Alawam, HS Alawam, MM Alshahrani, MS Alwethaynani, ...","Marine Drugs 22 (1), 34",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4052122130558644027,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=moKsDBQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=moKsDBQAAAAJ:_FxGoFyzp5QC
moKsDBQAAAAJ,2,Development and evaluation of polysorbate-80 coated Mangiferin PLGA nanoparticles used in the treatment of cerebral ischemia,"N Ahmad, MF Khan, Z Ullah, AA Chaudhary, AS Alawam, MS Khalid, ...","Polymer Bulletin 81 (8), 7035-7069",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15792377363628899969,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=moKsDBQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=moKsDBQAAAAJ:eQOLeE2rZwMC
moKsDBQAAAAJ,3,Zingiber officinale-Mediated biosynthesis of bimetallic Gold/Silver (BAu/Ag) nanoalloys; an insight into antiviral and anticancer activities,"KS Alshallash, AM Eid, SED Hassan, MA Abdel-Rahman, AS Alawam, ...","Journal of King Saud University-Science 36 (7), 103243",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
moKsDBQAAAAJ,4,"Development of newer generation Vascular endothelial growth factor Receptor-2 Inhibitors: Pharmacophore based design, virtual Screening, molecular Docking, molecular dynamic …","MA Alamri, MM Alshahrani, AS Alawam, S Paria, KK Sen, S Banerjee, ...",Journal of King Saud University-Science 103285,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
moKsDBQAAAAJ,5,"Cellulose-based CoFe LDH composite as a nano-adsorbent for sulfamethoxazole and cefixime residues: Evaluation of performance, green metrics and cytotoxicity","AA Kotp, AA Allam, AM Salah, W Kamal, D Essam, SM Mahgoub, ...","Journal of Contaminant Hydrology 264, 104364",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
moKsDBQAAAAJ,6,Construction of an aerolysin-based multi-epitope vaccine against Aeromonas hydrophila: an in silico machine learning and artificial intelligence-supported approach,"AS Alawam, MS Alwethaynani","Frontiers in Immunology 15, 1369890",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
moKsDBQAAAAJ,7,"A hierarchical approach towards identification of novel inhibitors against L, D-transpeptidase YcbB as an anti-bacterial therapeutic target","AS Alawam, L M. Alneghery, MS Alwethaynani, MA Alamri",Journal of Biomolecular Structure and Dynamics 1-11,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
moKsDBQAAAAJ,8,In silico assessment of a natural small molecule as an inhibitor of programmed death ligand 1 for cancer immunotherapy: a computational approach,"NS Alharthi, MS Alwethaynani, AY Alhazmi, AS Alawam, FF Alshehri, ...",Journal of Biomolecular Structure and Dynamics 1-21,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
moKsDBQAAAAJ,9,Preparation of novel S-allyl cysteine chitosan based nanoparticles for use in ischemic brain treatment,"MF Khan, N Ahmad, FK Alkholifi, Z Ullah, MS Khalid, S Akhtar, S Farooqui, ...","RSC advances 14 (1), 160-180",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
moKsDBQAAAAJ,10,"Synthesis, Optimization, and Characterization of Cellulase Enzyme Obtained from Thermotolerant Bacillus subtilis F3: An Insight into Cotton Fabric Polishing Activity","A Fouda, KS Alshallash, HM Atta, MS El Gamal, MM Bakry, AS Alawam, ...","Journal of Microbiology and Biotechnology 34 (1), 207",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
moKsDBQAAAAJ,11,Nanomedicine as potential cancer therapy via targeting dysregulated transcription factors,"A Ahmad, S Rashid, AA Chaudhary, AS Alawam, MI Alghonaim, SS Raza, ...","Seminars in Cancer Biology 89, 38-60",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=89832894322483761,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=moKsDBQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=moKsDBQAAAAJ:2osOgNQ5qMEC
moKsDBQAAAAJ,12,Antibiotic adjuvants: Synergistic tool to combat multi-drug resistant pathogens,"V Kumar, N Yasmeen, A Pandey, A Ahmad Chaudhary, AS Alawam, ...","Frontiers in Cellular and Infection Microbiology 13, 1293633",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11169911029995783566,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=moKsDBQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=moKsDBQAAAAJ:WF5omc3nYNoC
moKsDBQAAAAJ,13,Establishing the Role of Iridoids as Potential Kirsten Rat Sarcoma Viral Oncogene Homolog G12C Inhibitors Using Molecular Docking; Molecular Docking Simulation; Molecular …,"MA Alamri, AS Alawam, MM Alshahrani, SMA Kawsar, Prinsa, S Saha","Molecules 28 (13), 5050",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17453041521984750895,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=moKsDBQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=moKsDBQAAAAJ:Y0pCki6q_DkC
moKsDBQAAAAJ,14,Biomaterial-based strategies for immunomodulation in IBD: current and future scenarios,"C Jori, AA Chaudhary, S Rashid, MAM Ali, AS Alawam, F Haouala, ...","Journal of Materials Chemistry B 11 (25), 5668-5692",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1328991032293432111,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=moKsDBQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=moKsDBQAAAAJ:zYLM7Y9cAGgC
moKsDBQAAAAJ,15,Specialized pro-resolving lipid mediators regulate inflammatory macrophages: A paradigm shift from antibiotics to immunotherapy for mitigating COVID-19 pandemic,"V Kumar, N Yasmeen, AA Chaudhary, AS Alawam, M Al-Zharani, ...","Frontiers in molecular biosciences 10, 1104577",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5782449312178917120,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=moKsDBQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=moKsDBQAAAAJ:IjCSPb-OGe4C
moKsDBQAAAAJ,16,Biologically inspired stealth–Camouflaged strategies in nanotechnology for the improved therapies in various diseases,"M Imran, V Gowd, P Saha, S Rashid, AA Chaudhary, MYA Mohamed, ...","International Journal of Pharmaceutics 631, 122407",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16762939497038361242,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=moKsDBQAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=moKsDBQAAAAJ:UeHWp8X0CEIC
