Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
noD-FTcAAAAJ,1,The potential of bi2–xZrxO3+ x/2@ ZrO2 (BZO) as a heavyweight radiation shielding material: Fabrication and characterization using a hydrothermal technique directly from zircon …,"KA Mahmoud, MW Marashdeh, M Al-Hmoud, MJ Aljaafreh, S Alanazi, ...","Progress in Nuclear Energy 172, 105216",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6635609752460323968,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=noD-FTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=noD-FTcAAAAJ:_FxGoFyzp5QC
noD-FTcAAAAJ,2,Impacts of the calcinated clay on structure and gamma-ray shielding capacity of epoxy-based composites,"S Alanazi, KA Mahmoud, M Marashdeh, MJ Aljaafreh, A Abu El-Soad, ...","e-Polymers 24 (1), 20240017",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
noD-FTcAAAAJ,3,Evaluating the Effects of Metallic Waste on the Structural and Gamma-Ray Shielding Properties of Epoxy Composites,"S Alanazi, M Hanfi, MW Marashdeh, MJ Aljaafreh, KA Mahmoud","Polymers 16 (10), 1415",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
noD-FTcAAAAJ,4,"Fabrication, Structural Characterization, and Photon Attenuation Efficiency Investigation of Polymer-Based Composites","SF Alanazi, NM Alotaibi, M Alsuhybani, N Alnassar, FI Almasoud, ...","Polymers 16 (9), 1212",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
noD-FTcAAAAJ,5,Impact of heavy metal waste on gamma ray shielding performance of epoxy resin: an experimental investigation,"S Alanazi, MY Hanfi, MW Marashdeh, MJ Aljaafreh, KA Mahmoud",Polymer Bulletin 1-20,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
noD-FTcAAAAJ,6,Novel N-doped carbon dots derived from citric acid and urea: fluorescent sensing for determination of metronidazole and cytotoxicity studies,"H Qi, L Qiu, X Zhang, T Yi, J Jing, R Sami, SF Alanazi, Z Alqahtani, ...","RSC advances 13 (4), 2663-2671",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18215611023282394989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=noD-FTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=noD-FTcAAAAJ:Tyk-4Ss8FVUC
noD-FTcAAAAJ,7,Trace elements‐based Auroshell gold@ hematite nanostructure: Green synthesis and their hyperthermia therapy,"H M. Alahdal, S Ayad Abdullrezzaq, H Ibrahim M. Amin, S F. Alanazi, ...","IET nanobiotechnology 17 (1), 22-31",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16679388625797153164,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=noD-FTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=noD-FTcAAAAJ:zYLM7Y9cAGgC
noD-FTcAAAAJ,8,Evaluating the effect of X ray irradiation in the control of food bacterial pathogens,SF Alanazi,"Journal of King Saud University-Science 35 (1), 102367",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10969213496247544156,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=noD-FTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=noD-FTcAAAAJ:UeHWp8X0CEIC
noD-FTcAAAAJ,9,Zn Doping Improves the Anticancer Efficacy of SnO2 Nanoparticles,"S Alanazi, ZAM Alaizeri, R Lateef, N Madkhali, A Alharbi, M Ahamed","Applied Sciences 13 (22), 12456",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16866269085330159035,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=noD-FTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=noD-FTcAAAAJ:W7OEmFMy1HYC
noD-FTcAAAAJ,10,Response evaluation of two commercial thermoluminescence dosimeters (TLDs) against different parameters,"SF Alanazi, H Alarifi, A Alshehri, M Almurayshid","BJR| Open 5 (1), 20220035",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6658385771147434002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=noD-FTcAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=noD-FTcAAAAJ:Y0pCki6q_DkC
