Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
od02PB0AAAAJ,1,The potential of bi2–xZrxO3+ x/2@ ZrO2 (BZO) as a heavyweight radiation shielding material: Fabrication and characterization using a hydrothermal technique directly from zircon …,"KA Mahmoud, MW Marashdeh, M Al-Hmoud, MJ Aljaafreh, S Alanazi, ...","Progress in Nuclear Energy 172, 105216",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6635609752460323968,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=od02PB0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=od02PB0AAAAJ:8k81kl-MbHgC
od02PB0AAAAJ,2,The influence of Ni ion addition on the microstructure and gamma ray shielding ability of ferromagnetic CuFe2O4 ceramic material,"MW Marashdeh, FH Sallam, AM Abd El-Aziz, MI Elkhatib, MJ Aljaafreh, ...","Nuclear Engineering and Technology 56 (7), 2740-2747",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9775569502279825414,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=od02PB0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=od02PB0AAAAJ:Se3iqnhoufwC
od02PB0AAAAJ,3,Sodium titanium oxide/zinc oxide (STO/ZnO) photocomposites for efficient dye degradation applications,"M Zayed, M Nasr, MJ Aljaafreh, M Marashdeh, M Al-Hmoud, M Shaban, ...","Green Processing and Synthesis 13 (1), 20230272",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
od02PB0AAAAJ,4,Single nanoparticle detection based on a slotted nanobeam cavity,M Al-Hmoud,"Photonics and Nanostructures-Fundamentals and Applications 59, 101258",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
od02PB0AAAAJ,5,Synthesized PANI/CeO2 Nanocomposite Films for Enhanced Anti-Corrosion Performance,"AM Alsaad, M Al-Hmoud, TM Rababah, MW Marashdeh, MJ Aljaafreh, ...","Nanomaterials 14 (6), 526",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
od02PB0AAAAJ,6,Design and modeling of a novel highly sensitive surface plasmon resonance sensor applying tin selenide and graphene for cancer detection,"AM Alsaad, M Al-Hmoud, MW Marashdeh, MJ Aljaafreh, TM Rababah",Plasmonics 1-9,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4039792778179058888,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=od02PB0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=od02PB0AAAAJ:ufrVoPGSRksC
od02PB0AAAAJ,7,High-Sensitivity and Wide Detection-Range Refractive-Index Sensor Based on Amplitude Change in Slotted Photonic Crystal Nanobeam Cavity,M Al-Hmoud,"J. Nanoelectron. Optoelectron. 18, 673–679 (2023)",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18309495169153305948,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=od02PB0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=od02PB0AAAAJ:WF5omc3nYNoC
od02PB0AAAAJ,8,Nanostructured p-PbS/p-CuO sulfide/oxide bilayer heterojunction as a promising photoelectrode for hydrogen gas generation,"M Zayed, MJ Aljaafreh, M Shaban, M Hezam, SH Mohamed, M Rabia, ...","Open Chemistry 21 (1), 20230177",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
od02PB0AAAAJ,9,Probing quantum correlations in a hybrid optomechanical system,"S Bougouffa, M Al-Hmoud, JW Hakami","International Journal of Theoretical Physics 61 (7), 190",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16476701128784388962,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=od02PB0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=od02PB0AAAAJ:Y0pCki6q_DkC
od02PB0AAAAJ,10,High sensitivity and low detection limit sensor based on a slotted nanobeam cavity,"M Al-Hmoud, R Alyahyan","Photonics Letters of Poland 14 (3), 59-61",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15731341643561673721,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=od02PB0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=od02PB0AAAAJ:YsMSGLbcyi4C
od02PB0AAAAJ,11,Simultaneous high Q/V-ratio and optimized far-field emission pattern in diamond slot-bridge nanobeam cavity,"M Al-Hmoud, S Bougouffa","Results in Physics 26, 104314",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10119459736993431855,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=od02PB0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=od02PB0AAAAJ:zYLM7Y9cAGgC
od02PB0AAAAJ,12,Bipartite entanglement in optomechanical cavities driven by squeezed light,"S Bougouffa, M Al-Hmoud","International Journal of Theoretical Physics 59, 1699-1716",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16747287747142409852,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=od02PB0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=od02PB0AAAAJ:UeHWp8X0CEIC
od02PB0AAAAJ,13,Ground-state cooling in cavity optomechanics with unresolved sidebands,"S Al-Awfi, M Al-Hmoud, S Bougouffa","Europhysics Letters 123 (1), 14005",2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5681088808549698721,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=od02PB0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=od02PB0AAAAJ:2osOgNQ5qMEC
od02PB0AAAAJ,14,Photonic crystal cavities with metallic Schottky contacts,"W Quiring, M Al-Hmoud, A Rai, D Reuter, AD Wieck, A Zrenner",Applied Physics Letters 107 (4),2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7736807858770427232,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=od02PB0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=od02PB0AAAAJ:u-x6o8ySG0sC
od02PB0AAAAJ,15,Coherent optoelectronics with quantum dots,"S Gordon, D Mantei, YA Leier, M Al-Hmoud, W Quiring, A Zrenner",Quantum Optics with Semiconductor Nanostructures 528-559,2012,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
od02PB0AAAAJ,16,Nanoscale imaging magnetometry with diamond spins under ambient conditions,"G Balasubramanian, IY Chan, R Kolesov, M Al-Hmoud, J Tisler, C Shin, ...","Nature 455 (7213), 648-651",2008,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13331053690891709155,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=od02PB0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=od02PB0AAAAJ:d1gkVwhDpl0C
