Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
ohm_vVMAAAAJ,1,"Benzohydrazide derivative metal complex's antimicrobial and inhibitory effects on liver cancer cell lines and quinone oxidoreductase 2: Experimental, molecular docking, and DFT …","TA Yousef, LHK Al-Jibori, AS Fiahan, AO Elzupir, MM Abou-Krisha, ...","Journal of Molecular Structure 1308, 138073",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8815952528402302304,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ohm_vVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ohm_vVMAAAAJ:Br1UauaknNIC
ohm_vVMAAAAJ,2,Cellulose Sulfate Nanofibers for Enhanced Ammonium Removal,"KI Johnson, W Borges, PR Sharma, SK Sharma, HY Chang, ...","Nanomaterials 14 (6), 507",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17956503160852061588,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ohm_vVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ohm_vVMAAAAJ:yxmsSjX2EkcC
ohm_vVMAAAAJ,3,"Synthesis, spectroscopic, DFT, anticancer evaluation and enzyme inhibition studies of platinum (II) complexes with 1-methyl-1H-1, 2, 3, 4-tetrazole-5-thiol and phosphine …","AY Osama'a, OR Al Samarrai, TA Yousef, MM Abou-Krisha, MH Alhalafi, ...","Chemical Physics Impact 8, 100581",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ohm_vVMAAAAJ,4,Nano-Sulphonated Poly (glycidyl methacrylate)-Hexamethyl Pararosaniline chloride novel composite adsorbent development for treatment of dichromate and permanganate contaminated …,"T Tamer, M Abou-Krisha, A Omer, A Alhamzani, M Youssef, T Yousef, ...",Adsorption 1-14,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ohm_vVMAAAAJ,5,Voltametric Sensor Based on Magnetic Chitosan Acetylindole-Based Nanocomposite for the Determination of Sulfamethazine,"M Abd-Elsabour, MM Abou-Krisha, AG Alhamzani, AN Alotaibi, TA Yousef","ACS omega 9 (15), 17323-17333",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ohm_vVMAAAAJ,6,Synthesis and in Silico Investigation of Organoselenium-Clubbed Schiff Bases as Potential Mpro Inhibitors for the SARS-CoV-2 Replication,"S Shaaban, A Abdou, AG Alhamzani, MM Abou-Krisha, MA Al-Qudah, ...","Life 13 (4), 912",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16855422149280871680,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ohm_vVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ohm_vVMAAAAJ:j7_hQOaDUrUC
ohm_vVMAAAAJ,7,Experimental and theoretical examinations of triazole linked saccharin derivatives as organic corrosion inhibitors for mild steel in hydrochloric acid,"TA Yousef, AG Alhamzani, MM Abou-Krisha, CBP Kumar, MS Raghu, ...","Journal of Molecular Structure 1275, 134603",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13457704997748045931,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ohm_vVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ohm_vVMAAAAJ:43bX7VzcjpAC
ohm_vVMAAAAJ,8,Fabrication of layered In2S3/WS2 heterostructure for enhanced and efficient photocatalytic CO2 reduction and various paraben degradation in water,"AG Alhamzani, TA Yousef, MM Abou-Krisha, KY Kumar, MK Prashanth, ...","Chemosphere 322, 138235",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13730694869815375674,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ohm_vVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ohm_vVMAAAAJ:-mN3Mh-tlDkC
ohm_vVMAAAAJ,9,"New dual inhibitors of SARS-CoV-2 based on metal complexes with Schiff-base 4-chloro-3-methyl phenyl hydrazine: Synthesis, DFT, antibacterial properties and molecular docking …","ASM Al-Janabi, AO Elzupir, MM Abou-Krisha, TA Yousef","Inorganics 11 (2), 63",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17192762790361478544,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ohm_vVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ohm_vVMAAAAJ:U4n9YNQMCAIC
ohm_vVMAAAAJ,10,"Synthesis, molecular docking study and anticancer activity of novel 1, 3, 4-oxadiazole derivatives as potential tubulin inhibitors","TA Yousef, AG Alhamzani, MM Abou-Krisha, G Kanthimathi, MS Raghu, ...",Heliyon 9 (2),2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16382549007297387861,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ohm_vVMAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ohm_vVMAAAAJ:v1_lew4L6wgC
