Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
ovCMfUAAAAAJ,1,ESSENTIAL APPROXIMATE PSEUDOSPECTRA OF MULTIVALUED LINEAR RELATIONS,"A JERIBI, K MAHFOUDHI","Kragujevac Journal of Mathematics 49 (2), 267-285",2025,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,2,Browder S-Resolvent Equation in Quaternionic Setting,"H Baloudi, A Jeribi, H Zmouli","Complex Analysis and Operator Theory 18 (3), 60",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,3,"Lower Characteristic, Weakly Quasi-compact and Application","S Baraket, A Jeribi","Results in Mathematics 79 (2), 86",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,4,Generalized Weakly Demicompact and S-Demicompact Linear Relations and Their Spectral Properties,"M Fakhfakh, A Jeribi","Ukrainian Mathematical Journal 75 (8), 1278-1294",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,5,On the class of demi Dunford–Pettis operators,"H Benkhaled, M Hajji, A Jeribi","Rendiconti del Circolo Matematico di Palermo Series 2 72 (2), 901-911",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17439152532762558208,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:HtS1dXgVpQUC
ovCMfUAAAAAJ,6,The class of demi KB-operators on Banach lattices,"H Benkhaled, A Jeribi","Turkish Journal of Mathematics 47 (1), 387-396",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13049302799483146959,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:gKiMpY-AVTkC
ovCMfUAAAAAJ,7,Equivalence of some properties in the theory of Banach algebras and applications,"KB Amara, A Jeribi, N Kaddachi","Journal of Mathematical Analysis and Applications 520 (1), 126865",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5819960518299665607,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:_OXeSy2IsFwC
ovCMfUAAAAAJ,8,Fractional-Order SEIRD Model for Global COVID-19 Outbreak,"R Yousif, A Jeribi, S Al-Azzawi","Mathematics 11 (4), 1036",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15256850034641536415,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:Ak0FvsSvgGUC
ovCMfUAAAAAJ,9,Quaternionic Davis–Wielandt shell in a right quaternionic Hilbert space,"A Jeribi, K Mahfoudhi","Ukrainian Mathematical Journal 75 (6), 897-907",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3128307499346407095,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:PVgj2kMGcgYC
ovCMfUAAAAAJ,10,Generalized Drazin-meromorphic pseudospectrum for a bounded linear operator on a Banach space,"A Jeribi, K Mahfoudhi","Rendiconti del Circolo Matematico di Palermo Series 2 72 (2), 1303-1314",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7330572483566533922,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:yMeIxYmEMEAC
ovCMfUAAAAAJ,11,Demicompactness perturbation in Banach algebras and some stability results,"S Chelly, A Jeribi, B Krichen","Georgian Mathematical Journal 30 (1), 53-63",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5017890393170224194,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:8xutWZnSdmoC
ovCMfUAAAAAJ,12,On -weakly demicompact operators on Banach lattices,"H Benkhaled, A Jeribi","Владикавказский математический журнал 25 (4), 20-28",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12929704459995620807,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:buQ7SEKw-1sC
ovCMfUAAAAAJ,13,Some properties of the condition pseudospectrum of multivalued linear operators,"A Ammar, A Jeribi, M Zayed","Filomat 37 (5), 1625-1634",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14066564622936312756,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:6yz0xqPARnAC
ovCMfUAAAAAJ,14,Characterization of the essential approximation S-spectrum and the essential defect S-spectrum in a right quaternionic Hilbert space,"A Ammar, A Jeribi, B Saadaoui","Filomat 37 (11), 3513-3525",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1466212610619470787,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:Bg7qf7VwUHIC
ovCMfUAAAAAJ,15,Generalized lower characteristic involving measures of non-strict singularity,"S Baraket, AB Ghorbal, A Jeribi","Topological Algebra and its Applications 11 (1), 20230106",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,16,The pseudospectra of linear operator pencils in a Hilbert space,"A Ammar, A Bouchekoua, A Jeribi","Afrika Matematika 34 (4), 63",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,17,Existence results for nonexpansive multi-valued operators and nonlinear integral inclusions,"KB Amara, A Jeribi, N Kaddachi","Afrika Matematika 34 (3), 46",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,18,Generalized weakly demicompact and -demicompact linear relations and their spectral properties,"M Fakhfakh, A Jeribi","Ukrains’ kyi Matematychnyi Zhurnal 75 (8), 1119-1132",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,19,Correction to: Some results of essential spectra of sum of two bounded linear operators in non-Archimedean Banach space,"A Ammar, FZ Boutaf, A Jeribi","Boletín de la Sociedad Matemática Mexicana: Tercera Serie 29 (2), 7",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,20,New results on perturbations of p-adic linear operators,"A Ammar, FZ Boutaf, A Jeribi","Georgian Mathematical Journal 30 (2), 173-184",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,21,Topological properties of some multiplication operators on L (X),"R Sfaxi, R Moalla, A Jeribi","Filomat 37 (26), 9063-9077",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,22,Some properties of extended eigenvalues for operators pair,"A Ammar, C Bouchama, A Jeribi","Filomat 37 (6), 1927-1940",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,23,A characterization of S-pseudospectra of linear operators in a Hilbert space,"A Ammar, A Bouchekoua, A Jeribi","Filomat 37 (5), 1331-1339",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,24,Fredholm linear relation and some results of demicompact for multivalued matrix linear operator,"A Ammar, A Jeribi, B Saadaoui","Filomat 37 (5), 1507-1522",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,25,Extended eigenvalues of 2× 2 block operator matrices,"A Ammar, FZ Boutaf, A Jeribi","Filomat 37 (5), 1377-1389",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,26,Some results of Fredholm perturbations of multivalued linear operator in normed spaces,"A Ammar, AB Ezzadam, A Jeribi","Filomat 37 (5), 1399-1408",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
ovCMfUAAAAAJ,27,Pseudo S-spectrum in a right quaternionic Hilbert space,"A Ammar, A Jeribi, N Lazrag","Linear and Multilinear Algebra 70 (4), 581-605",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11448538223725891173,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:epqYDVWIO7EC
ovCMfUAAAAAJ,28,Spectral properties for generalized weakly S-demicompact operators,"I Ferjani, A Jeribi, B Krichen","Linear and Multilinear Algebra 70 (4), 606-624",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8835202090424140281,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:zLWjf1WUPmwC
ovCMfUAAAAAJ,29,Fixed point theorems for weakly asymptotically regular mappings in Banach spaces with an application,"A Jeribi, N Kaddachi, Z Laouar","Numerical Functional Analysis and Optimization 43 (1), 68-87",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6502920514333831545,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:cWzG1nlazyYC
ovCMfUAAAAAJ,30,"Demicompactness, selection of linear relation and application to multivalued matrix","A Ammar, A Jeribi, B Saadaoui","Filomat 36 (7), 2215-2235",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=263227554168103694,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:ZzlSgRqYykMC
ovCMfUAAAAAJ,31,L-weakly and M-weakly demicompact operators on Banach lattices,"H Benkhaled, M Hajji, A Jeribi","Filomat 36 (13), 4319-4329",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12327683530281738816,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:bKqednn6t2AC
ovCMfUAAAAAJ,32,Weak demicompactness involving measures of weak noncompactness and invariance of the essential spectrum,"A Jeribi, B Krichen, M Salhi","Filomat 36 (9), 3051-3073",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15982765128433727162,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ovCMfUAAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=ovCMfUAAAAAJ:artPoR2Yc-kC
