Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
p-Rne_wAAAAJ,1,FaceEngine: A Tracking-Based Framework for Real-Time Face Recognition in Video Surveillance System,"A Imran, R Ahmed, MM Hasan, MHU Ahmed, AKM Azad, SA Alyami","SN Computer Science 5 (5), 609",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
p-Rne_wAAAAJ,2,Single-cell RNA-seq data analysis reveals functionally relevant biomarkers of early brain development and their regulatory footprints in human embryonic stem cells (hESCs),"M Alamin, M Humaira Sultana, IA Babarinde, AKM Azad, MA Moni, H Xu","Briefings in Bioinformatics 25 (3), bbae230",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
p-Rne_wAAAAJ,3,SafetyMed: a novel IoMT intrusion detection system using CNN-LSTM hybridization,"N Faruqui, MA Yousuf, M Whaiduzzaman, AKM Azad, SA Alyami, P Liò, ...","Electronics 12 (17), 3541",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3377123487481413926,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:M05iB0D1s5AC
p-Rne_wAAAAJ,4,An explainable EEG-based human activity recognition model using machine-learning approach and LIME,"I Hussain, R Jany, R Boyer, AKM Azad, SA Alyami, SJ Park, MM Hasan, ...","Sensors 23 (17), 7452",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11221122903704957177,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:pqnbT2bcN3wC
p-Rne_wAAAAJ,5,FP-CNN: Fuzzy pooling-based convolutional neural network for lung ultrasound image classification with explainable AI,"MM Hasan, MM Hossain, MM Rahman, AKM Azad, SA Alyami, MA Moni","Computers in Biology and Medicine 165, 107407",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9798913822578470783,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:HoB7MX3m0LUC
p-Rne_wAAAAJ,6,"Identification of genetic biomarkers, drug targets and agents for respiratory diseases utilising integrated bioinformatics approaches","FF Ahmed, AD Das, MJ Sumi, MZ Islam, MS Rahman, MH Rashid, ...","Scientific Reports 13 (1), 19072",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17860233828046446303,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:ZHo1McVdvXMC
p-Rne_wAAAAJ,7,BOO-ST and CBCEC: two novel hybrid machine learning methods aim to reduce the mortality of heart failure patients,"A Sutradhar, M Al Rafi, FMJM Shamrat, P Ghosh, S Das, MA Islam, ...","Scientific Reports 13 (1), 22874",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7518574783361663982,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:rO6llkc54NcC
p-Rne_wAAAAJ,8,Cancer Classification Utilizing Voting Classifier with Ensemble Feature Selection Method and Transcriptomic Data,"R Khatun, M Akter, MM Islam, MA Uddin, MA Talukder, J Kamruzzaman, ...","Genes 14 (9), 1802",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3391507463014058379,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:SeFeTyx0c_EC
p-Rne_wAAAAJ,9,WheatSpikeNet: An Improved Wheat Spike Segmentation Model for Accurate Estimation from Field Imaging,"MA Batin, M Islam, MM Hasan, AKM Azad, SA Alyami, MA Hossain, ...","Frontiers in Plant Science 14, 1226190",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6046723072698265255,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:ldfaerwXgEUC
p-Rne_wAAAAJ,10,Binocular Rivalry Impact on Macroblock-Loss Error Concealment for Stereoscopic 3D Video Transmission,"MM Hasan, MA Hossain, N Alotaibi, JF Arnold, AKM Azad","Sensors 23 (7), 3604",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10058120149139318606,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:2P1L_qKh6hAC
p-Rne_wAAAAJ,11,A proteomic-based prognostic signature of pancreatic adenocarcinoma,"AT Aref, AKM Azad, A Anees, M Pathan, J Grealey, DL Smith, ...","Cancer Research 83 (7_Supplement), 2209-2209",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
p-Rne_wAAAAJ,12,Deep CNN-LSTM with self-attention model for human activity recognition using wearable sensor,"MA Khatun, MA Yousuf, S Ahmed, MZ Uddin, SA Alyami, S Al-Ashhab, ...","IEEE Journal of Translational Engineering in Health and Medicine 10, 1-16",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6645224644784712043,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:lSLTfruPkqcC
p-Rne_wAAAAJ,13,A classification of MRI brain tumor based on two stage feature level ensemble of deep CNN models,"NF Aurna, MA Yousuf, KA Taher, AKM Azad, MA Moni","Computers in biology and medicine 146, 105539",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4300016828364006131,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:J_g5lzvAfSwC
p-Rne_wAAAAJ,14,BARD: A structured technique for group elicitation of Bayesian networks to support analytic reasoning,"EP Nyberg, AE Nicholson, KB Korb, M Wybrow, I Zukerman, S Mascaro, ...","Risk Analysis 42 (6), 1155-1178",2022,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9050792836786306108,12500359405390244689",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:YFjsv_pBGBYC
p-Rne_wAAAAJ,15,Adverse effects of COVID-19 vaccination: machine learning and statistical approach to identify and classify incidences of morbidity and post-vaccination reactogenicity,"MAM Md. Martuza Ahamad, Sakifa Aktar, Md. Jamal Uddin, Md. Rashed-Al-Mahfuz ...","Healthcare 11 (31), https://doi.org/10.3390/healthcare11010",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8980883038751918789,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:maZDTaKrznsC
p-Rne_wAAAAJ,16,Early-stage detection of ovarian cancer based on clinical data using machine learning approaches,"MM Ahamad, S Aktar, MJ Uddin, T Rahman, SA Alyami, S Al-Ashhab, ...","Journal of personalized medicine 12 (8), 1211",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3791855686904257044,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:35N4QoGY0k4C
p-Rne_wAAAAJ,17,Particle swarm optimized fuzzy CNN with quantitative feature fusion for ultrasound image quality identification,"MM Hossain, MM Hasan, MA Rahim, MM Rahman, MA Yousuf, ...","IEEE Journal of Translational Engineering in Health and Medicine 10, 1-12",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14372205894553998850,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:70eg2SAEIzsC
p-Rne_wAAAAJ,18,Network based systems biology approach to identify diseasome and comorbidity associations of Systemic Sclerosis with cancers,"MK Islam, MH Rahman, MR Islam, MZ Islam, MMI Mamun, AKM Azad, ...",Heliyon 8 (2),2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13356821353382039689,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:NaGl4SEjCO4C
p-Rne_wAAAAJ,19,Mutual Interdependence of the Physical Parameters Governing the Boundary-Layer Flow of Non-Newtonian Fluids,"S Al-Ashhab, D Wei, SA Alyami, AKM Azad, MA Moni","Applied Sciences 12 (10), 5275",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5062180817507897494,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:RYcK_YlVTxYC
p-Rne_wAAAAJ,20,dRNASb: a systems biology approach to decipher dynamics of host-pathogen interactions using temporal dual RNA-seq data,"M Dinarvand, F Kock, D Al Mouiee, K Vuong, A Vijayan, AF Tanzim, ...","Microbial Genomics 8 (9), https://doi.org/10.1099/mgen.0.000862",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
p-Rne_wAAAAJ,21,Emotion Recognition from EEG Signal Focusing on Deep Learning and Shallow Learning Techniques,"MR Islam, MA Moni, MM Islam, M Rashed-Al-Mahfuz, MS Islam, ...","IEEE Access 9, 94601-94624",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9936824547186165383,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:NMxIlDl6LWMC
p-Rne_wAAAAJ,22,LungNet: A hybrid deep-CNN model for lung cancer diagnosis using CT and wearable sensor-based medical IoT data,"N Faruqui, MA Yousuf, M Whaiduzzaman, AKM Azad, A Barros, MA Moni","Computers in Biology and Medicine 139, 104961",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5369327508510686504,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:O3NaXMp0MMsC
p-Rne_wAAAAJ,23,Improved Transfer-Learning-Based Facial Recognition Framework to Detect Autistic Children at an Early Stage,"T Akter, MH Ali, MI Khan, MS Satu, MJ Uddin, SA Alyami, S Ali, AKM Azad, ...","Brain Sciences 11, 6",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6536107616276177854,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=p-Rne_wAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=p-Rne_wAAAAJ:JV2RwH3_ST0C
