Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
u2oLZPkAAAAJ,1,"Synthesis, and Characterization of Magnetic Nano-particles using Opuntia Extract, and its Applications in Wastewater Treatment","HM Ahmed, NY Mohamed, MA El-Khateeb, MM Hefny, FM Abdel-Haleem, ...","Egyptian Journal of Chemistry 67 (8), 171-178",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
u2oLZPkAAAAJ,2,"Modern designs of electrochemical sensor platforms for environmental analyses: Principles, nanofabrication opportunities, and challenges","A Barhoum, S Hamimed, H Slimi, A Othmani, FM Abdel-Haleem, ...","Trends in environmental analytical chemistry 38, e00199",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2561863138865600198,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:qxL8FJ1GzNcC
u2oLZPkAAAAJ,3,Evaluation of agrowaste species for removal of heavy metals from synthetic wastewater,"HM Ahmed, NA Sobhy, MM Hefny, FM Abdel-Haleem, MA El-Khateeb","Journal of Environmental and Public Health 2023 (1), 7419015",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14796286085036408003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:M3ejUd6NZC8C
u2oLZPkAAAAJ,4,"Adsorption of Chromium, Copper, Lead, Selenium, and Zinc ions into ecofriendly synthesized magnetic iron nanoparticles","MS Al Shammari, HM Ahmed, FM Abdel-Haleem, NJ Almutlq, ...","Plos one 18 (10), e0289709",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4830299630561596776,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:QIV2ME_5wuYC
u2oLZPkAAAAJ,5,Ionophore-Based Nanosphere Emulsion Incorporating Ion-Exchanger for Picogram Potentiometric Determination of HCV Drug (Daclatasvir) in Pharmaceutical Formulations and Body Fluids,"SS Badawy, YM Ahmed, FM Abdel-Haleem, A Barhoum","Chemosensors 11 (7), 385",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
u2oLZPkAAAAJ,6,Preparation and Characterization of Iron Nanoparticles by Green Synthesis Method and its Application in Water Treatment,"HM Ahmed, NA Sobhy, MA El-Khateeb, MM Hefny, FM Abdel-Haleem","Solid State Phenomena 342, 11-25",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
u2oLZPkAAAAJ,7,"Ionophore-modified polyaniline-based optode for the determination of hydrogen sulfite levels in beverages, wastewater, and soil","FK Algethami, BH Koraim, EA Abdelrahman, YG Abou El-Reash, MS Rizk, ...","Analytical Methods 15 (45), 6275-6285",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
u2oLZPkAAAAJ,8,Nanoparticle and nanostructure synthesis and controlled growth methods,"V Harish, MM Ansari, D Tewari, M Gaur, AB Yadav, ML García-Betancourt, ...","Nanomaterials 12 (18), 3226",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15894979421635982168,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:KlAtU1dfN6UC
u2oLZPkAAAAJ,9,"Nanocelluloses as new generation materials: Natural resources, structure-related properties, engineering nanostructures, and technical challenges","A Barhoum, VK Rastogi, BK Mahur, A Rastogi, FM Abdel-Haleem, ...","Materials Today Chemistry 26, 101247",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6964589905097557843,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:_kc_bZDykSQC
u2oLZPkAAAAJ,10,"Current trends in COVID-19 diagnosis and its new variants in physiological fluids: Surface antigens, antibodies, nucleic acids, and RNA sequencing","M Mostafa, A Barhoum, E Sehit, H Gewaid, E Mostafa, MM Omran, ...","TrAC Trends in Analytical Chemistry 157, 116750",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7673616049962875076,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:kNdYIx-mwKoC
u2oLZPkAAAAJ,11,"Removal of cadmium, nickel, and zinc from aqueous solutions by activated carbon prepared from corncob-waste agricultural materials","HI Abdel-Shafy, MM Hefny, HM Ahmed, FM Abdel-Haleem","Egyptian Journal of Chemistry 65 (3), 677-687",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6104359927037290565,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:0EnyYjriUFMC
u2oLZPkAAAAJ,12,Dibenzo-18-crown-6-based carbon paste sensors for the nanomolar potentiometric determination of daclatasvir dihydrochloride: An anti-HCV drug and a potential candidate for …,"YM Ahmed, SS Badawy, FM Abdel-Haleem","Microchemical Journal 177, 107276",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5623526191042981113,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:8k81kl-MbHgC
u2oLZPkAAAAJ,13,"Screen-printed sensors coated with polyaniline/molecularly imprinted polymer membranes for the potentiometric determination of 2, 4-dichlorophenoxyacetic acid herbicide in …","MM El-Beshlawy, FM Abdel-Haleem, AH Kamel, A Barhoum","Chemosensors 11 (1), 3",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13791906460352501261,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:4TOpqqG69KYC
u2oLZPkAAAAJ,14,Greywater treatment for safe recycling via hybrid constructed wetlands and sludge evaluation,"HI Abdel-Shafy, M El-Khateeb, HM Ahmed, MM Hefny, FM Abdel-Haleem","Egyptian Journal of Chemistry 65 (131), 543-555",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14661203864722752365,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:aqlVkmm33-oC
u2oLZPkAAAAJ,15,Molecularly-imprinted polymer-base bulk optode for the determination of ivabradine hydrochloride in Procoralan®,"FM Abdel-Haleem, MS Rizk, MM El-Beshlawy","RSC advances 12 (27), 17645-17654",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=81396562852344657,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:MXK_kJrjxJIC
u2oLZPkAAAAJ,16,"Development of potentiometric sensors based on thiourea derivatives, Gd2O3@ rGO and MoO3@ rGO for the determination of salicylate in drug tablets and biofluids and DFT studies","AM Ibrahim, FM Abdel-Haleem, A Salah, MS Rizk, SA Abdel-Latif, ...","Microchemical Journal 183, 108064",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11721044745144484165,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:YOwf2qJgpHMC
u2oLZPkAAAAJ,17,Non-Enzymatic Phenylboronic Acid-Based Optode Membrane for Glucose Monitoring in Serums of Diabetic Patients and in the Culture Medium of Human Embryos,"MM Taha, MS Rizk, MA Zayed, FM Abdel-Haleem, A Barhoum","Sensors 22 (19), 7135",2022,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
u2oLZPkAAAAJ,18,Ultrafast response humidity sensors based on polyvinyl chloride/graphene oxide nanocomposites for intelligent food packaging,"H Moustafa, M Morsy, MA Ateia, FM Abdel-Haleem","Sensors and Actuators A: Physical 331, 112918",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8089981598517175957,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:hqOjcs7Dif8C
u2oLZPkAAAAJ,19,"Polyvinyl chloride modified carbon paste electrodes for sensitive determination of levofloxacin drug in serum, urine, and pharmaceutical formulations","FM Abdel-Haleem, S Mahmoud, NET Abdel-Ghani, RM El Nashar, ...","Sensors 21 (9), 3150",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14743700513137145214,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:UebtZRa9Y70C
u2oLZPkAAAAJ,20,"Molecularly Imprinted Electrochemical Sensor-Based Fe2O3@MWCNTs for Ivabradine Drug Determination in Pharmaceutical Formulation, Serum, and Urine …","FM Abdel-Haleem, E Gamal, MS Rizk, A Madbouly, RM El Nashar, B Anis, ...","Frontiers in Bioengineering and Biotechnology 9, 648704",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13070980103524117164,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:roLk4NBRz8UC
u2oLZPkAAAAJ,21,Molecularly imprinted potentiometric sensor for nanomolar determination of pioglitazone hydrochloride in pharmaceutical formulations,"MM El‐Beshlawy, FM Abdel‐Haleem, A Barhoum","Electroanalysis 33 (5), 1244-1254",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2880221638247896512,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:LkGwnXOMwfcC
u2oLZPkAAAAJ,22,Sensors and Actuators A: Physical Ultrafast response humidity sensors based on polyvinyl chloride/graphene oxide nanocomposites for intelligent food packaging,"H Moustafa, M Morsy, MA Ateia, FM Abdel-haleem","Sens. Actuators A. Phys 331, 112918",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3832492380241678078,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=u2oLZPkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=u2oLZPkAAAAJ:7PzlFSSx8tAC
