Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
xzkihjgAAAAJ,1,A weak- Prodi–Serrin type regularity criterion for the micropolar fluid equations in terms of the pressure,"IB Omrane, MB Slimane, S Gala, MA Ragusa",Ricerche di Matematica 1-13,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17882294094890607288,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xzkihjgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xzkihjgAAAAJ:5nxA0vEk-isC
xzkihjgAAAAJ,2,Regularity results for solutions of micropolar fluid equations in terms of the pressure,"IB Omrane, MB Slimane, S Gala, MA Ragusa","AIMS Math 8, 21208-21220",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17016610261246219516,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xzkihjgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xzkihjgAAAAJ:UebtZRa9Y70C
xzkihjgAAAAJ,3,A new regularity criterion for the 3D incompressible Boussinesq equations in terms of the middle eigenvalue of the strain tensor in the homogeneous Besov spaces with negative …,"BO Ines, G Sadek, RM Alessandra","Evolution Equations and Control Theory 12 (6), 1688-1701",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=584907383611047965,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xzkihjgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xzkihjgAAAAJ:u-x6o8ySG0sC
xzkihjgAAAAJ,4,Multifractal Analysis of Rectangular Pointwise Regularity with Hyperbolic Wavelet Bases,"M Ben Abid, M Ben Slimane, I Ben Omrane, M Turkawi","Journal of Fourier Analysis and Applications 27, 1-34",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8564723742924810850,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xzkihjgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xzkihjgAAAAJ:W7OEmFMy1HYC
xzkihjgAAAAJ,5,Dimension prints for continuous functions on the unit square,"M Ben Abid, I Ben Omrane, M Ben Slimane, M Turkawi","Acta Mathematica Hungarica 165, 78-99",2021,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7017438767064523152,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xzkihjgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xzkihjgAAAAJ:ULOm3_A8WrAC
xzkihjgAAAAJ,6,Pointwise rectangular Lipschitz regularities for fractional Brownian sheets and some Sierpinski selfsimilar functions,"M Ben Slimane, M Ben Abid, I Ben Omrane, MM Turkawi","Mathematics 8 (7), 1179",2020,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7994581492625968469,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xzkihjgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xzkihjgAAAAJ:zYLM7Y9cAGgC
xzkihjgAAAAJ,7,Logarithmically improved blow-up criterion for smooth solutions to the Leray--magnetohydrodynamic equations,"I Ben Omrane, S Gala, JM Kim, MA Ragusa","Archivum Mathematicum 55 (1), 55-68",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17822536639688326343,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xzkihjgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xzkihjgAAAAJ:hqOjcs7Dif8C
xzkihjgAAAAJ,8,On Wavelet and Leader Wavelet Based Large Deviation Multifractal Formalisms for Non-uniform Hölder Functions,"M Ben Slimane, M Ben Abid, I Ben Omrane, B Halouani","Journal of Fourier Analysis and Applications 25, 506-522",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2693738084538605272,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xzkihjgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xzkihjgAAAAJ:9yKSN-GCB0IC
xzkihjgAAAAJ,9,Directional thermodynamic formalism,"M Ben Slimane, M Ben Abid, I Ben Omrane, B Halouani","Symmetry 11 (6), 825",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=57935088166376418,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xzkihjgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xzkihjgAAAAJ:u5HHmVD_uO8C
xzkihjgAAAAJ,10,Directional Multifractal Analysis in the Lp Setting,"M Ben Slimane, I Ben Omrane, M Ben Abid, B Halouani, F Alshormani","Journal of Function Spaces 2019 (1), 1691903",2019,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18175649667469189969,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xzkihjgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xzkihjgAAAAJ:8k81kl-MbHgC
