Scholar ID,Paper Number,Paper Title,Authors,"Publication (journal name. volume, no. pages)",Year,Cited_by,Link
yWnVRNIAAAAJ,1,"Bi2Co3O7@ g-C3N4 nanocomposite for Cd (II) elimination: Adsorption equilibrium, kinetics and mechanistic approaches","LS Alqarni, AA Alshahrani, H Alhussain, NY Elamin, M Ismail, KK Taha, ...","Diamond and Related Materials 142, 110803",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15564269990185577582,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yWnVRNIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yWnVRNIAAAAJ:bEWYMUwI8FkC
yWnVRNIAAAAJ,2,Eu3+ doped SrMoO4: A promising nanophosphor for enhanced fingerprint detection and cheiloscopy,"Z Ghubish, YG Abou El-Reash, FK Algethami, NY Elamin, MA El-Kemary","Journal of Molecular Structure 1307, 138049",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7093143745920057691,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yWnVRNIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yWnVRNIAAAAJ:JV2RwH3_ST0C
yWnVRNIAAAAJ,3,Novel nanophosphor films coated Ag nanoparticles sensor for detecting hydrogen peroxide in biological samples based on Turn off-on luminescent,"Z Ghubish, YG Abou El-Reash, FK Algethami, NY Elamin, MA El-Kemary","Journal of Molecular Structure 1304, 137651",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14614230869538865927,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yWnVRNIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yWnVRNIAAAAJ:isC4tDSrTZIC
yWnVRNIAAAAJ,4,Utilization of efficient Al2O3@ g-C3N4 nano sorbent for eliminated Ni (II) ions from polluted water,"S Aldoihi, A Mallah, AH Alluhayb, MR Elamin, NY Elamin, LS Alqarni, ...","Journal of Science: Advanced Materials and Devices 9 (3), 100742",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yWnVRNIAAAAJ,5,Ru@Co3O4@g-C3N4 as a Novel Adsorbent for Enhanced Copper and Cadmium Abolition,"AM Mohamed R. Elamin 1, Babiker Y. Abdulkhair 1 2, Nuha Y. Elamin 1 2 ...",Journal of Science: advanced materials and devices 100725,2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yWnVRNIAAAAJ,6,Construction and XRD analysis of La@Co3O4@g-C3N4 nanostructures for removal of Co ions from contaminated water,"H Alhussain, NY Elamin, LS Alqarni, KK Taha, A Modwi","Journal of Materials Science: Materials in Electronics 35 (8), 588",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yWnVRNIAAAAJ,7,"Investigation of mechanical, optical, phonon frequencies, and sound velocity of nano-structured Gallium Phosphide (GaP) material under the effect of pressure","NY Elamin, H Alhussain, AM Abdelghany, EB Elkenany","Optical and Quantum Electronics 56 (1), 54",2024,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=NA,""
yWnVRNIAAAAJ,8,"Synthesis and structural of Fe3O4 magnetic nanoparticles and its effect on the structural optical, and magnetic properties of novel Poly (methyl methacrylate)/Polyaniline …","NY Elamin, A Modwi, W Abd El-Fattah, A Rajeh","Optical Materials 135, 113323",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4445713377261152102,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yWnVRNIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yWnVRNIAAAAJ:mVmsd5A6BfQC
yWnVRNIAAAAJ,9,"Environmental remediation applications of MxOy-gC3N4 nanocomposites (M= Mg, Ti, and Zn): Photocatalytic activity for Indigo carmine dye degradation","MAB Aissa, A Modwi, K Taha, N Elamin, RA AbuMousa, M Bououdina","Diamond and Related Materials 136, 109988",2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10441686432718730834,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yWnVRNIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yWnVRNIAAAAJ:hC7cP41nSMkC
yWnVRNIAAAAJ,10,Pluronic f127 encapsulated titanium dioxide nanoparticles: Evaluation of physiochemical properties for biological applications,"NY Elamin, T Indumathi, ER Kumar",Journal of Molecular Liquids 121655,2023,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13657976540094793890,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yWnVRNIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=yWnVRNIAAAAJ:IWHjjKOFINEC
